sample_seed,batch_id,batch_item_id,pipeline_run_id,startup_name,pipeline_status,classification,maturity_level,impact_index,fit_score,evidence_count,warning_count,source_error_count,critical_error_count,reviewer,classification_agreement,evidence_agreement,recommendation_applicable,briefing_utility_1_5,review_notes
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,444f0d24-3bcc-456f-8846-f016603ce4ed,9a49fb52-73f0-4e66-890d-a30e025f1d98,OpsFactor,completed,AI-enabled,2,70,0.68,23,3,3,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,72315224-b6a8-4aff-ac4d-d9c0f297ea20,d2bf9d63-ae1e-4af1-be58-de55ccf858a1,Air Robotics,completed,AI-native,5,87,0.76,47,15,15,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,a7778824-4bbb-4c12-b100-c90077cc733a,06d8fa1f-b7db-4cff-9c09-6afa1e265d8c,Zeev,completed,API-consumer,2,78,0.81,20,4,4,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,aed3585d-9a55-48e0-8fa9-5037facb4991,8efd8fbd-5f28-4ff5-b18c-ce6da9f3071d,POK (Proof of Knowledge),completed,Non-AI,,,,24,4,4,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,40a18ba3-1b7d-4ae8-afa5-911668b1b694,7507fad9-9d30-4d3e-bb9d-134659ecc2a7,Marisa.care,completed,AI-enabled,3,78,0.74,16,8,8,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,cf3246b1-750e-4778-b585-aa1eedd910ed,44daae43-9ed4-45a1-bf30-a21d959b2b3b,Delend,completed,AI-native,5,91,0.83,115,28,28,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,a07131f4-d988-47b3-a767-4ffb99221e98,a104f86b-3f13-4c2b-b15f-27da73b8cc98,Taxcel,completed,Non-AI,,,,12,7,7,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,15103733-8381-42d7-81c3-634335d30979,48efd63d-7ab1-433d-8c3f-4ccc96e4756b,Biti9,completed,AI-enabled,3,82,0.81,152,19,19,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,44a800fc-1508-4b3b-9a4e-5453247d6be4,27821918-0ed0-44a8-b9e0-a536cd24eca4,Evcomx,completed,AI-native,4,84,0.79,97,24,24,0,,,,,,
20260627,7cbf2fb4-a197-413c-bd7e-c23be2803e43,0e5f6160-33d7-4eb5-986c-d1fba023d3c9,17bf6881-03e2-4e15-9c62-66e761a4a658,Anzi Finance,completed,Non-AI,,,,42,21,21,0,,,,,,
