trade_rows,executed_trades,abstains,unique_events,wins,losses,hit_rate,total_net_pnl,mean_net_pnl,median_net_pnl,std_net_pnl,min_net_pnl,max_net_pnl,total_stake,aggregate_roi_on_stake,avg_entry_yes,avg_history_points,breakdown,venue,entry_year,month,quarter,side,category,entry_yes_bin
185.0,182.0,3.0,182.0,179.0,3.0,0.9835164835164835,3.169999999999998,0.017417582417582407,0.01,0.11618917380307052,-0.96,0.24,174.01,0.01821734383081431,0.05994505494505495,11.296703296703297,venue,FORECASTEX,,,,,,
355.0,229.0,126.0,229.0,208.0,21.0,0.9082969432314411,-0.8150000000000029,-0.003558951965065515,0.03,0.2709858136552642,-0.99,0.3400000000000001,208.56499999999997,-0.003907654687986973,0.6874934497816593,80.67685589519651,venue,KALSHI,,,,,,
1435.0,863.0,572.0,863.0,709.0,153.0,0.8215527230590962,5.60349922226267,0.0064930466074886095,0.15,0.3702300790457172,-0.9565,0.35,704.3965,0.007955035583315178,0.6702612977983778,10.522595596755504,venue,POLYMARKET,,,,,,
35.0,9.0,26.0,9.0,8.0,1.0,0.8888888888888888,0.4899999999999996,0.0544444444444444,0.1049999999999999,0.3040707611359201,-0.7050000000000001,0.3349999999999999,7.510000000000001,0.06524633821571232,0.6533333333333333,40.888888888888886,year,,2021.0,,,,,
62.0,30.0,32.0,30.0,23.0,7.0,0.7666666666666667,-1.9100000000000008,-0.06366666666666669,0.0874999999999999,0.42699215314871386,-0.99,0.3349999999999999,24.91,-0.07667603372139706,0.7623333333333334,55.6,year,,2022.0,,,,,
39.0,33.0,6.0,32.0,31.0,1.0,0.9393939393939394,0.7129992222626971,0.021606037038263547,0.02,0.1445575033552174,-0.72,0.29,31.287,0.022788992944759712,0.6642727272727272,14.818181818181818,year,,2023.0,,,,,
66.0,56.0,10.0,55.0,54.0,2.0,0.9642857142857143,1.722499999999998,0.030758928571428534,0.02,0.1784889604702214,-0.8300000000000001,0.25,52.2775,0.03294916551097504,0.3883303571428571,16.089285714285715,year,,2024.0,,,,,
638.0,437.0,201.0,396.0,385.0,52.0,0.8810068649885584,6.888499999999988,0.015763157894736816,0.0699999999999999,0.3068986240625277,-0.96,0.3400000000000001,376.7715,0.01828296460852264,0.5072986270022882,30.4324942791762,year,,2025.0,,,,,
1135.0,709.0,426.0,671.0,595.0,114.0,0.8392101551480959,0.05449999999998356,7.686882933707132e-05,0.1149999999999999,0.35174459279459924,-0.99,0.35,594.2155,9.171756711156737e-05,0.638468970380818,18.176304654442877,year,,2026.0,,,,,
112.0,109.0,3.0,109.0,107.0,2.0,0.981651376146789,2.0799999999999987,0.01908256880733944,0.01,0.13030264830886243,-0.96,0.24,103.83,0.02003274583453721,0.05743119266055045,11.330275229357799,venue_year,FORECASTEX,2025.0,,,,,
73.0,73.0,0.0,73.0,72.0,1.0,0.9863013698630136,1.0899999999999994,0.01493150684931506,0.01,0.09197105957357868,-0.71,0.11,70.18,0.015531490453120538,0.06369863013698629,11.246575342465754,venue_year,FORECASTEX,2026.0,,,,,
35.0,9.0,26.0,9.0,8.0,1.0,0.8888888888888888,0.4899999999999996,0.0544444444444444,0.1049999999999999,0.3040707611359201,-0.7050000000000001,0.3349999999999999,7.510000000000001,0.06524633821571232,0.6533333333333333,40.888888888888886,venue_year,KALSHI,2021.0,,,,,
62.0,30.0,32.0,30.0,23.0,7.0,0.7666666666666667,-1.9100000000000008,-0.06366666666666669,0.0874999999999999,0.42699215314871386,-0.99,0.3349999999999999,24.91,-0.07667603372139706,0.7623333333333334,55.6,venue_year,KALSHI,2022.0,,,,,
25.0,23.0,2.0,23.0,22.0,1.0,0.9565217391304348,0.4600000000000002,0.020000000000000007,0.03,0.1737487737039786,-0.72,0.29,21.539999999999996,0.02135561745589602,0.7817391304347826,15.347826086956522,venue_year,KALSHI,2023.0,,,,,
31.0,30.0,1.0,30.0,29.0,1.0,0.9666666666666667,0.15499999999999978,0.005166666666666659,0.02,0.1617974645667536,-0.8300000000000001,0.15,28.845,0.005373548275264336,0.5961666666666666,17.9,venue_year,KALSHI,2024.0,,,,,
80.0,67.0,13.0,67.0,62.0,5.0,0.9253731343283582,-0.3400000000000006,-0.00507462686567165,0.03,0.2468552092754973,-0.88,0.3400000000000001,62.09000000000001,-0.005475922048639081,0.646865671641791,140.6417910447761,venue_year,KALSHI,2025.0,,,,,
122.0,70.0,52.0,70.0,64.0,6.0,0.9142857142857143,0.32999999999999874,0.004714285714285696,0.037500000000000006,0.27218692388153237,-0.99,0.3400000000000001,63.67,0.005182974713365773,0.7068714285714285,87.51428571428572,venue_year,KALSHI,2026.0,,,,,
