label,bin,bin_left,bin_right,n,mean_predicted_yes,mean_realized_yes,calibration_gap,abs_gap
ALL,0,0.0,0.1,297,0.03220538720538721,0.01683501945366095,-0.01537036775172626,0.01537036775172626
ALL,1,0.1,0.2,43,0.13423255813953489,0.11627906976744186,-0.017953488372093027,0.017953488372093027
ALL,2,0.2,0.30000000000000004,45,0.2506222222222222,0.2222222222222222,-0.02839999999999998,0.02839999999999998
ALL,3,0.30000000000000004,0.4,51,0.3588235294117646,0.47058823529411764,0.11176470588235304,0.11176470588235304
ALL,4,0.4,0.5,146,0.4657191780821918,0.6301369863013698,0.164417808219178,0.164417808219178
ALL,5,0.5,0.6000000000000001,464,0.514989224137931,0.6939655140100254,0.17897628987209435,0.17897628987209435
ALL,6,0.6000000000000001,0.7000000000000001,150,0.6567666666666667,0.6266666666666667,-0.030100000000000016,0.030100000000000016
ALL,7,0.7000000000000001,0.8,263,0.7499049429657794,0.7671102661596958,0.017205323193916433,0.017205323193916433
ALL,8,0.8,0.9,325,0.8436953846153847,0.8584615384615385,0.014766153846153762,0.014766153846153762
ALL,9,0.9,1.0,191,0.9487198952879583,0.9476439790575916,-0.0010759162303667358,0.0010759162303667358
FORECASTEX,0,0.0,0.1,158,0.036012658227848104,0.006329113924050633,-0.029683544303797472,0.029683544303797472
FORECASTEX,1,0.1,0.2,16,0.12,0.0,-0.12,0.12
FORECASTEX,2,0.2,0.30000000000000004,5,0.26,0.0,-0.26,0.26
FORECASTEX,3,0.30000000000000004,0.4,1,0.31,1.0,0.69,0.69
FORECASTEX,4,0.4,0.5,2,0.4,1.0,0.6,0.6
FORECASTEX,5,0.5,0.6000000000000001,1,0.59,1.0,0.41000000000000003,0.41000000000000003
FORECASTEX,6,0.6000000000000001,0.7000000000000001,1,0.7,0.0,-0.7,0.7
FORECASTEX,9,0.9,1.0,1,0.99,1.0,0.010000000000000009,0.010000000000000009
KALSHI,0,0.0,0.1,44,0.026829545454545446,0.022727272727272728,-0.004102272727272718,0.004102272727272718
