label,n,mean_predicted_yes,mean_realized_yes,bias_realized_minus_predicted,brier_score,climatology_brier,brier_skill_vs_climatology,log_loss_soft_settlement,roc_auc_binary_settlements,ece_10_equal_width,mce_10_equal_width,logistic_calibration_intercept,logistic_calibration_slope,fractional_settlement_rows
ALL,1975,0.558486835443038,0.6145569616599439,0.05607012621690588,0.15792429684308198,0.23678176467342818,0.3330386017652467,0.47149202084817404,0.8185637850140777,0.06754911277109595,0.17897628987209435,0.36288134543150946,0.9782384784478508,1
FORECASTEX,185,0.06648648648648649,0.032432432432432434,-0.03405405405405405,0.01932756756756757,0.03138056975894814,0.3840912476722532,0.09124475812019965,0.9534450651769087,0.059027027027027036,0.7,0.3662117905735335,1.7940614400556951,0
KALSHI,355,0.6226647887323944,0.706338028169014,0.08367323943661964,0.13595266338028167,0.20689644911723867,0.3428951344484237,0.411044896333163,0.8588846153846155,0.10601408450704235,0.21743750000000006,0.6678179248551662,0.890649627061706,1
POLYMARKET,1435,0.6060386759581882,0.666898954200968,0.06086027824277984,0.18122765906974697,0.22214473749980596,0.18419107691036218,0.5354672632227415,0.7410448446373997,0.07315714235427814,0.1703394216727201,0.394692832976449,0.8679552697440363,0
YEAR:2021,35,0.5277142857142857,0.6,0.07228571428571429,0.19248,0.24000000000000002,0.19800000000000006,0.5581004570626629,0.7840136054421769,0.15285714285714286,0.7050000000000001,0.43735555618934646,2.2617940756388593,0
YEAR:2022,62,0.6344354838709676,0.5806451612903226,-0.05379032258064498,0.2223568548387097,0.24349635796045785,0.08681650641025629,0.6600635778345779,0.670405982905983,0.16185483870967743,0.335,-0.0635176399140842,0.5489362725670704,0
YEAR:2023,39,0.6381025641025642,0.6666666481638228,0.028564084061258654,0.05486483372017588,0.2222221700031016,0.7531081902430792,0.1766713476322945,0.9763313609467456,0.06276917238242287,0.41,0.4116204336135361,1.6764076039183287,0
YEAR:2024,66,0.4015378787878788,0.3484848484848485,-0.05305303030303027,0.07099870075757576,0.22704315886134063,0.6872898478260869,0.22223380104249488,0.9656218402426694,0.09744696969696968,0.4525,-0.6931666017450591,1.231567767688516,0
YEAR:2025,638,0.5081183385579937,0.5685736677115988,0.060455329153605075,0.14281185619122258,0.24500376494924384,0.41710342197880845,0.43019990001150676,0.8561125062782522,0.08425470219435736,0.2608333333333333,0.4005895210142048,1.0982713546890521,1
YEAR:2026,1135,0.5899907488986784,0.6563876651982379,0.06639691629955946,0.17042991563876653,0.22554289817384385,0.24435698477456547,0.5063560649501334,0.7745740836344863,0.07746123348017622,0.2022786885245902,0.4445653625271223,0.8747403667939386,0
