label,additional_cost_per_contract,executed_trades,total_net_pnl_after_additional_cost,mean_net_pnl_after_additional_cost,hit_rate_after_additional_cost,aggregate_roi_on_stake_after_additional_cost
ALL,0.0,1274,7.958499222262668,0.006246859672105705,0.8602825745682888,0.007321718391202223
ALL,0.001,1274,6.6844992222626605,0.005246859672105699,0.8076923076923077,0.006149654542242055
ALL,0.0025,1274,4.773499222262672,0.0037468596721057083,0.8006279434850864,0.004391558768801824
ALL,0.005,1274,1.5884992222626604,0.001246859672105699,0.7880690737833596,0.00146139914640141
ALL,0.0075,1274,-1.5965007777373348,-0.0012531403278942972,0.782574568288854,-0.0014687604759989886
ALL,0.01,1274,-4.781500777737339,-0.0037531403278943005,0.7331240188383046,-0.004398920098399395
ALL,0.015,1274,-11.151500777737343,-0.008753140327894303,0.7127158555729984,-0.010259239343200206
ALL,0.02,1274,-17.52150077773734,-0.013753140327894302,0.6789638932496075,-0.016119558588001008
ALL,0.03,1274,-30.261500777737343,-0.023753140327894304,0.6373626373626373,-0.027840197077602623
ALL,0.05,1274,-55.74150077773735,-0.04375314032789431,0.5784929356357927,-0.05128147405680585
FORECASTEX,0.0,182,3.169999999999998,0.017417582417582407,0.9835164835164835,0.01821734383081431
FORECASTEX,0.001,182,2.9879999999999978,0.016417582417582406,0.6318681318681318,0.0171714269294868
FORECASTEX,0.0025,182,2.7149999999999985,0.01491758241758241,0.6318681318681318,0.015602551577495538
FORECASTEX,0.005,182,2.259999999999998,0.012417582417582406,0.6318681318681318,0.01298775932417676
FORECASTEX,0.0075,182,1.8049999999999984,0.009917582417582409,0.6318681318681318,0.010372967070857988
FORECASTEX,0.01,182,1.3499999999999983,0.007417582417582409,0.45604395604395603,0.007758174817539212
FORECASTEX,0.015,182,0.43999999999999817,0.0024175824175824076,0.45604395604395603,0.002528590310901662
FORECASTEX,0.02,182,-0.4700000000000019,-0.002582417582417593,0.3626373626373626,-0.0027009941957358884
FORECASTEX,0.03,182,-2.290000000000002,-0.012582417582417592,0.29120879120879123,-0.013160163209010988
FORECASTEX,0.05,182,-5.9300000000000015,-0.03258241758241759,0.1813186813186813,-0.034078501235561186
KALSHI,0.0,229,-0.8150000000000029,-0.003558951965065515,0.9082969432314411,-0.003907654687986973
KALSHI,0.001,229,-1.0440000000000038,-0.004558951965065519,0.9039301310043668,-0.00500563373528638
KALSHI,0.0025,229,-1.3875000000000024,-0.006058951965065513,0.9039301310043668,-0.0066526023062354785
KALSHI,0.005,229,-1.960000000000004,-0.00855895196506552,0.8602620087336245,-0.009397549924483994
KALSHI,0.0075,229,-2.5325000000000024,-0.011058951965065513,0.8602620087336245,-0.012142497542732495
KALSHI,0.01,229,-3.105000000000003,-0.013558951965065515,0.7685589519650655,-0.014887445160981005
KALSHI,0.015,229,-4.2500000000000036,-0.018558951965065518,0.6855895196506551,-0.020377340397478023
KALSHI,0.02,229,-5.395000000000004,-0.02355895196506552,0.611353711790393,-0.02586723563397504
KALSHI,0.03,229,-7.685000000000004,-0.03355895196506552,0.4978165938864629,-0.03684702610696908
KALSHI,0.05,229,-12.265000000000004,-0.05355895196506552,0.34497816593886466,-0.05880660705295714
POLYMARKET,0.0,863,5.60349922226267,0.0064930466074886095,0.8215527230590962,0.007955035583315178
POLYMARKET,0.001,863,4.740499222262665,0.005493046607488603,0.8192352259559675,0.0067298733344965025
POLYMARKET,0.0025,863,3.4459992222626754,0.003993046607488616,0.8088064889918888,0.004892129961268512
POLYMARKET,0.005,863,1.2884992222626637,0.0014930466074886022,0.8018539976825029,0.0018292243392218214
POLYMARKET,0.0075,863,-0.8690007777373254,-0.0010069533925113853,0.7937427578215527,-0.0012336812828248373
POLYMARKET,0.01,863,-3.026500777737334,-0.003506953392511395,0.7821552723059096,-0.004296586904871524
POLYMARKET,0.015,863,-7.341500777737334,-0.008506953392511394,0.7740440324449595,-0.010422398148964873
POLYMARKET,0.02,863,-11.656500777737332,-0.013506953392511392,0.7636152954808807,-0.016548209393058216
POLYMARKET,0.03,863,-20.28650077773733,-0.023506953392511392,0.7473928157589803,-0.028799831881244912
POLYMARKET,0.05,863,-37.546500777737336,-0.0435069533925114,0.7242178447276941,-0.053303076857618314
