label,trade_rows,executed_trades,abstains,unique_canonical_events_executed,date_min,date_max,buy_yes,buy_no,wins,losses,breakeven,hit_rate,hit_rate_wilson95_low,hit_rate_wilson95_high,total_net_pnl,mean_net_pnl,median_net_pnl,std_net_pnl_sample,variance_net_pnl_sample,sem_net_pnl_iid,min_net_pnl,max_net_pnl,p01_net_pnl,p05_net_pnl,p10_net_pnl,p25_net_pnl,p75_net_pnl,p90_net_pnl,p95_net_pnl,p99_net_pnl,skewness_bias_corrected,excess_kurtosis_bias_corrected,downside_deviation_zero,expected_shortfall_lower_5pct,expected_shortfall_lower_1pct,gross_positive_pnl,gross_negative_pnl,avg_win,avg_loss,median_win,median_loss,payoff_ratio_avg_win_abs_avg_loss,profit_factor,total_stake_turnover,mean_stake,median_stake,aggregate_return_on_stake_total_pnl_over_total_stake,mean_individual_return_on_stake,median_individual_return_on_stake,std_individual_return_on_stake,bootstrap95_mean_pnl_low,bootstrap95_mean_pnl_high,bootstrap_probability_mean_gt_zero,iid_t_stat_mean_zero,iid_ttest_p_two_sided,binomial_hit_rate_vs_50_p_two_sided,hac10_se_mean,hac10_t_mean_zero,hac10_p_two_sided,hac20_se_mean,hac20_t_mean_zero,hac20_p_two_sided,canonical_event_cluster_se_mean,canonical_event_cluster_t_mean_zero,canonical_event_cluster_p_two_sided,break_even_additional_cost_per_executed_contract,break_even_additional_cost_bps_of_total_stake,longest_win_streak,longest_loss_streak,max_additive_drawdown,peak_cum_pnl_before_drawdown,trough_cum_pnl,peak_trade_index,trough_trade_index,recovery_trade_index,drawdown_start_date,drawdown_trough_date,drawdown_recovery_or_end_date,drawdown_duration_trades,drawdown_duration_calendar_days,recovered,max_cumulative_pnl,min_cumulative_pnl,terminal_cumulative_pnl,daily_max_additive_drawdown,daily_peak_cum_pnl_before_drawdown,daily_trough_cum_pnl,daily_peak_trade_index,daily_trough_trade_index,daily_recovery_trade_index,daily_drawdown_start_date,daily_drawdown_trough_date,daily_drawdown_recovery_or_end_date,daily_drawdown_duration_trades,daily_drawdown_duration_calendar_days,daily_recovered,daily_max_cumulative_pnl,daily_min_cumulative_pnl,daily_terminal_cumulative_pnl
ALL_MAX_HISTORY,1975,1274,701,1193,2021-07-01,2026-08-01,869,405,1096,177,1,0.8602825745682888,0.8401598258251394,0.8782391536908422,7.958499222262668,0.006246859672105705,0.09799999999999989,0.3285159949243479,0.10792275892113418,0.009203898179376913,-0.99,0.35,-0.9,-0.8,-0.715,0.01,0.1999999999999999,0.27,0.3,0.3399999999999999,-1.766800724323651,1.8305011140329102,0.2896561761005938,-0.8604772727272727,-0.93415625,144.75499922226265,-136.7965,0.13207572921739294,-0.772861581920904,0.125,-0.76,0.17089182889531931,1.058177652368757,1086.9715,0.8531958398744114,0.855,0.007321718391202223,0.0066407541740402505,0.10865290068829885,0.42651152264255726,-0.012094300061018312,0.024002746031809533,0.7498,0.6787189026170437,0.49743935306483894,1.4206784661356356e-161,0.009568873968654634,0.6528312205353455,0.5138650938409549,0.009692873062481141,0.6444796740695844,0.5192644339630919,0.00921236084445388,0.6780954174050292,0.4977111961237217,0.006246859672105705,73.21718391202224,43,3,-10.122500000000015,11.435499222262672,1.3129992222626576,528,738,1049.0,2025-12-10,2026-02-06,2026-05-30,521,171,True,13.962999222262635,-2.380000000000001,7.958499222262626,-9.44500000000001,11.28049922226268,1.8354992222626703,273,353,390.0,2025-12-08,2026-04-03,2026-05-29,117,172,True,13.96299922226266,-2.380000000000001,7.958499222262658
COMMON_OVERLAP_FROM_2025_01_01,1773,1146,627,1067,2025-01-01,2026-08-01,796,350,980,166,0,0.8551483420593369,0.8335844297042054,0.8743392529527572,6.942999999999971,0.0060584642233856645,0.10474999999999995,0.3353011155121103,0.11242683806366552,0.009904731098613116,-0.99,0.35,-0.9,-0.805,-0.7224999999999999,0.01,0.1999999999999999,0.275,0.3,0.3399999999999999,-1.7234012564350532,1.6133365369756731,0.29541865056428246,-0.8619745762711863,-0.9304333333333333,135.10449999999997,-128.1615,0.13786173469387752,-0.7720572289156626,0.135,-0.7575000000000001,0.17856413945829028,1.0541738353561716,970.987,0.847283595113438,0.845,0.007150456185304202,0.006481529270235353,0.11700650989272865,0.43571944369197213,-0.013628948516579432,0.025372316753926663,0.7338,0.6116737711570972,0.540875046212381,6.482268725108446e-141,0.010460664191003593,0.5791663046210845,0.5624769644025641,0.01063777193471577,0.5695237931934036,0.5690007285322658,0.009914468276219326,0.6110730353454644,0.5411512301649737,0.0060584642233856645,71.50456185304202,43,3,-10.122500000000013,10.419999999999982,0.29749999999996846,400,610,921.0,2025-12-10,2026-02-06,2026-05-30,521,171,True,12.947499999999948,-1.1635000000000058,6.942999999999941,-9.445000000000011,10.264999999999988,0.8199999999999781,156,236,273.0,2025-12-08,2026-04-03,2026-05-29,117,172,True,12.94749999999997,-0.36150000000000504,6.942999999999968
VENUE:FORECASTEX,185,182,3,182,2025-01-01,2026-07-29,2,180,179,3,0,0.9835164835164835,0.9526652428119085,0.9943785498749027,3.169999999999998,0.017417582417582407,0.01,0.11618917380307052,0.013499924109040128,0.008612514568494394,-0.96,0.24,-0.71,8.673617379884035e-18,8.673617379884035e-18,8.673617379884035e-18,0.04,0.0899999999999999,0.0999999999999999,0.24,-5.829360846453835,43.514010835824664,0.10297231037175336,-0.03552238805970148,-0.7933333333333333,5.549999999999997,-2.38,0.031005586592178756,-0.7933333333333333,0.01,-0.71,0.03908267217501524,2.3319327731092425,174.01,0.956098901098901,0.98,0.01821734383081431,0.01795586721088817,0.010204081632653,0.14630849204209398,-0.0010439560439560547,0.03225274725274724,0.9678,2.022357382279271,0.04461141498348801,3.2786849070771346e-49,0.009753325519758799,1.785809607430506,0.07413009061893137,0.011125129427026398,1.565607171748463,0.1174406099926357,0.008612514568494396,2.0223573822792695,0.04313944448693778,0.017417582417582407,182.1734383081431,79,1,-1.5100000000000002,3.0699999999999976,1.5599999999999974,70,82,156.0,2025-08-28,2025-10-02,2026-05-07,86,252,True,3.2499999999999933,8.673617379884035e-18,3.1699999999999915,-1.5000000000000002,3.0699999999999976,1.5699999999999974,59,70,128.0,2025-08-28,2025-10-02,2026-05-07,69,252,True,3.249999999999994,0.48,3.169999999999993
VENUE:KALSHI,355,229,126,229,2021-07-01,2026-06-11,167,62,208,21,0,0.9082969432314411,0.8638836325258009,0.9392379461961587,-0.8150000000000029,-0.003558951965065515,0.03,0.2709858136552642,0.07343331120240558,0.017907246612285543,-0.99,0.3400000000000001,-0.8986000000000001,-0.8119999999999999,0.005,0.015,0.0949999999999999,0.205,0.2859999999999999,0.3349999999999999,-2.367414286556679,5.095776047140777,0.24611390127692245,-0.88,-0.96,16.125,-16.94,0.07752403846153846,-0.8066666666666668,0.037500000000000006,-0.8200000000000001,0.09610417991099808,0.9518890200708382,208.56499999999997,0.9107641921397378,0.96,-0.003907654687986973,-0.004454671961664484,0.0309278350515464,0.338880039276478,-0.0388007096069869,0.029541484716157192,0.4242,-0.19874367300128884,0.8426403677343848,7.0528496129034345e-40,0.01501567393727055,-0.23701579961934396,0.8126445331237437,0.011795507936306814,-0.301720958883932,0.7628647895798547,0.017907246612285554,-0.1987436730012891,0.8424632593028303,0.0,0.0,29,3,-2.87,0.48999999999999955,-2.380000000000001,8,31,,2021-12-28,2022-09-29,2026-06-11,220,1626,False,0.48999999999999955,-2.380000000000001,-0.815000000000003,-2.87,0.48999999999999955,-2.380000000000001,8,31,,2021-12-28,2022-09-29,2026-06-11,191,1626,False,0.48999999999999955,-2.380000000000001,-0.8150000000000032
VENUE:POLYMARKET,1435,863,572,863,2023-01-18,2026-08-01,700,163,709,153,1,0.8215527230590962,0.7945990511950759,0.8456564353792017,5.60349922226267,0.0064930466074886095,0.15,0.3702300790457172,0.137070311430198,0.012602778456840812,-0.9565,0.35,-0.9038,-0.815,-0.744,0.02774999999999995,0.2299999999999999,0.285,0.31,0.3399999999999999,-1.5353908840263457,0.7121221916372154,0.32488288691246076,-0.8630333333333332,-0.9340555555555555,123.07999922226267,-117.47649999999999,0.17359661385368502,-0.7678202614379084,0.175,-0.755,0.22609017054145988,1.0476988948620591,704.3965,0.8162184241019698,0.815,0.007955035583315178,0.007198693933449361,0.1764705882352941,0.48344321546629465,-0.018772494251317374,0.030334588644264155,0.6953,0.5152075496466552,0.6065400863468082,9.090733727758212e-86,0.013901000351921907,0.46709203964525464,0.6404340292149286,0.013696511071304608,0.474065736426272,0.6354530311100781,0.012602778456840817,0.5152075496466547,0.6064079939706382,0.0064930466074886095,79.55035583315178,33,4,-11.43550000000001,10.235499222262682,-1.2000007777373278,284,529,715.0,2025-12-10,2026-03-20,2026-07-04,431,206,True,11.887999222262657,-1.568000777737307,5.603499222262651,-10.500500000000008,10.080499222262684,-0.4200007777373239,88,133,168.0,2025-12-06,2026-03-17,2026-07-04,80,210,True,11.887999222262668,-0.8160007777373077,5.603499222262666
SIDE:BUY_NO,405,405,0,370,2021-07-01,2026-08-01,0,405,376,28,1,0.928395061728395,0.8990553806291041,0.9496843753656127,1.8249992222626887,0.0045061709191671325,0.02,0.23255757418742162,0.054083025311938114,0.011555878768122781,-0.99,0.345,-0.9144,-0.702,8.673617379884035e-18,0.0024999999999999,0.0699999999999999,0.223,0.2589999999999998,0.3349999999999999,-2.651287774299234,7.504506503663778,0.2077671848161296,-0.8203095238095235,-0.9553,23.75649922226269,-21.931499999999996,0.06318217878261354,-0.783267857142857,0.024749999999999953,-0.755,0.08066484307563,1.0832136070156029,373.375,0.9219135802469136,0.9665,0.004887845255474225,0.00413285837381113,0.0206185567010309,0.29860307298568856,-0.01915996913580249,0.0261445967490761,0.6577,0.3899461918549659,0.6967818334471001,4.3876862678378845e-78,0.010465151064020909,0.43058823437908156,0.6667677976396544,0.010482858646647124,0.42986088728844973,0.6672968385876468,0.011545076511610427,0.39031104857862586,0.6963065543408622,0.0045061709191671325,48.87845255474225,58,2,-3.064000000000002,4.888999222262679,1.8249992222626767,386,404,,2026-07-17,2026-08-01,2026-08-01,18,15,False,4.888999222262679,-1.17,1.8249992222626767,-2.984000000000001,4.808999222262684,1.824999222262683,249,257,,2026-07-16,2026-08-01,2026-08-01,8,16,False,4.808999222262684,-1.17,1.824999222262683
SIDE:BUY_YES,869,869,0,868,2021-07-18,2026-08-01,869,0,720,149,0,0.8285385500575374,0.8020462429042098,0.8521389979887749,6.133499999999977,0.00705811277330262,0.145,0.36483430178584897,0.1331040677595679,0.012376156023909702,-0.99,0.35,-0.9,-0.82,-0.745,0.03,0.2199999999999999,0.28,0.305,0.3399999999999999,-1.5784087529464443,0.8695290136468063,0.3207563971039144,-0.8628888888888888,-0.9269999999999999,120.99849999999998,-114.865,0.1680534722222222,-0.7709060402684563,0.17,-0.76,0.21799475350290434,1.0533974665912156,713.5965,0.8211697353279631,0.82,0.00859519350221025,0.007809566370924943,0.1695906432748538,0.47464292765606586,-0.017117289988492553,0.031169462025316414,0.7247,0.5702992722188485,0.5686223220777645,1.9284551105633256e-90,0.01320444061778446,0.5345256931063299,0.5929778782604471,0.013065344282999944,0.5402163632600422,0.5890478292550678,0.012376180921191303,0.5702981249423442,0.5684755124423138,0.00705811277330262,85.9519350221025,37,3,-10.158500000000007,8.933499999999993,-1.2250000000000139,319,550,773.0,2025-12-10,2026-03-20,2026-07-11,454,213,True,9.498499999999972,-3.2950000000000026,6.1334999999999695,-9.258500000000007,8.77849999999999,-0.48000000000001647,144,202,251.0,2025-12-08,2026-04-03,2026-07-11,107,215,True,9.498499999999973,-2.360000000000003,6.133499999999973
VENUE_SIDE:FORECASTEX:BUY_NO,180,180,0,180,2025-01-01,2026-07-29,0,180,178,2,0,0.9888888888888889,0.9603989991004155,0.9969476251540074,3.8799999999999972,0.02155555555555554,0.01,0.10332366146842989,0.010675779019242704,0.007701291024252832,-0.96,0.24,-0.14909999999999995,8.673617379884035e-18,8.673617379884035e-18,8.673617379884035e-18,0.04,0.0899999999999999,0.10049999999999973,0.24,-6.533206247537436,59.13629178059281,0.0889975030860729,-0.025692307692307684,-0.835,5.549999999999997,-1.67,0.03117977528089886,-0.835,0.01,-0.835,0.03734104824059744,3.323353293413172,172.32,0.9573333333333333,0.98,0.0225162488393686,0.02379029748148534,0.010204081632653,0.1251266452779625,0.0049444444444444345,0.03483333333333332,0.9931,2.7989535115181323,0.005689084627980168,2.1260747017632793e-50,0.009253103977270105,2.3295486150923987,0.019830020700886988,0.01086956500539766,1.98311114978855,0.04735501544219685,0.007701291024252831,2.7989535115181328,0.005126851811206585,0.02155555555555554,225.162488393686,97,1,-1.5100000000000002,3.0699999999999976,1.5599999999999974,70,82,155.0,2025-08-28,2025-10-02,2026-05-07,85,252,True,3.8799999999999915,8.673617379884035e-18,3.8799999999999915,-1.5000000000000002,3.0699999999999976,1.5699999999999974,59,70,127.0,2025-08-28,2025-10-02,2026-05-07,68,252,True,3.879999999999993,0.48,3.879999999999993
VENUE_SIDE:FORECASTEX:BUY_YES,2,2,0,2,2026-04-29,2026-05-15,2,0,1,1,0,0.5,0.09453120573423074,0.9054687942657693,-0.71,-0.355,-0.355,0.5020458146424487,0.25205,0.3549999999999999,-0.71,8.673617379884035e-18,-0.7029,-0.6745,-0.639,-0.5325,-0.1775,-0.07099999999999997,-0.035500000000000025,-0.007099999999999997,,,0.5020458146424487,-0.71,-0.71,8.673617379884035e-18,-0.71,8.673617379884035e-18,-0.71,8.673617379884035e-18,-0.71,1.2216362506878924e-17,1.2216362506878924e-17,1.69,0.845,0.845,-0.42011834319526625,-0.5071428571428571,-0.5071428571428571,0.7172083066320696,-0.71,8.673617379884035e-18,0.2535,-1.0,0.5000000000000001,1.0,,,,,,,,,,0.0,0.0,1,1,-0.71,8.673617379884035e-18,-0.71,0,1,,2026-04-29,2026-05-15,2026-05-15,1,16,False,8.673617379884035e-18,-0.71,-0.71,-0.71,8.673617379884035e-18,-0.71,0,1,,2026-04-29,2026-05-15,2026-05-15,1,16,False,8.673617379884035e-18,-0.71,-0.71
VENUE_SIDE:KALSHI:BUY_NO,62,62,0,62,2021-07-01,2026-06-11,0,62,55,7,0,0.8870967741935484,0.7848025794735822,0.9442213647060003,-1.5645,-0.025233870967741937,0.0275,0.2917751452597142,0.08513273539132733,0.037055480503482736,-0.99,0.3400000000000001,-0.9351,-0.71925,-0.5849499999999996,0.01,0.055,0.20249999999999996,0.29474999999999996,0.33694999999999997,-2.091056287525564,3.914255179578438,0.267977791568991,-0.8687499999999999,-0.99,3.9554999999999993,-5.5200000000000005,0.07191818181818181,-0.7885714285714286,0.035,-0.72,0.09120059288537548,0.7165760869565215,56.564499999999995,0.9123306451612903,0.96,-0.027658690521440127,-0.031590646694998725,0.028284430346286,0.3725167531802012,-0.09903225806451613,0.042346774193548375,0.2545,-0.6809754083574838,0.4984640166610528,2.4300843108615577e-10,0.03243258218750081,-0.778040762275994,0.4365449830992264,0.030754524109376048,-0.8204929745620407,0.41193513262930426,0.03705548050348272,-0.6809754083574845,0.49588705104858244,0.0,0.0,21,2,-2.085,0.5199999999999999,-1.5650000000000002,32,60,,2025-10-21,2026-06-03,2026-06-11,29,233,False,0.5199999999999999,-1.5650000000000002,-1.5645000000000002,-2.085,0.5199999999999999,-1.565,27,45,,2025-10-21,2026-06-03,2026-06-11,19,233,False,0.5199999999999999,-1.565,-1.5645
