label,window_trades,metric,min_value,min_start_date,min_end_date,max_value,max_start_date,max_end_date,latest_value,latest_start_date,latest_end_date,window_count
ALL,25,window_total_pnl,-5.57,2025-12-21,2026-01-05,3.9449999999999985,2025-10-25,2025-10-30,-2.1475000000000004,2026-07-25,2026-08-01,1250
ALL,25,window_mean_pnl,-0.2228,2025-12-21,2026-01-05,0.15779999999999994,2025-10-25,2025-10-30,-0.08590000000000002,2026-07-25,2026-08-01,1250
ALL,25,window_hit_rate,0.56,2026-01-28,2026-01-30,1.0,2024-07-15,2024-12-18,0.72,2026-07-25,2026-08-01,1250
ALL,25,window_roi_on_stake,-0.26725403817914833,2025-10-01,2025-10-09,0.20714098188500912,2025-10-25,2025-10-30,-0.10674785634397914,2026-07-25,2026-08-01,1250
ALL,50,window_total_pnl,-6.171500000000001,2026-01-27,2026-01-31,5.449999999999998,2026-04-09,2026-04-22,-0.3340000000000013,2026-07-25,2026-08-01,1225
ALL,50,window_mean_pnl,-0.12343000000000001,2026-01-27,2026-01-31,0.10899999999999997,2026-04-09,2026-04-22,-0.006680000000000026,2026-07-25,2026-08-01,1225
ALL,50,window_hit_rate,0.64,2026-01-27,2026-01-30,0.98,2024-01-03,2024-12-18,0.8,2026-07-25,2026-08-01,1225
ALL,50,window_roi_on_stake,-0.16176297131174397,2026-01-27,2026-01-31,0.12864268836965076,2025-10-22,2025-10-30,-0.00828701865819773,2026-07-25,2026-08-01,1225
ALL,100,window_total_pnl,-8.746500000000001,2026-01-23,2026-02-06,7.184499999999996,2026-04-05,2026-05-07,-3.284000000000002,2026-07-17,2026-08-01,1175
ALL,100,window_mean_pnl,-0.08746500000000001,2026-01-23,2026-02-06,0.07184499999999996,2026-04-05,2026-05-07,-0.03284000000000002,2026-07-17,2026-08-01,1175
ALL,100,window_hit_rate,0.7,2026-01-23,2026-02-06,0.97,2024-01-03,2025-03-27,0.78,2026-07-17,2026-08-01,1175
ALL,100,window_roi_on_stake,-0.1111986930514325,2026-01-23,2026-02-06,0.08422664624808568,2025-10-25,2025-11-12,-0.04042144650681898,2026-07-17,2026-08-01,1175
ALL,250,window_total_pnl,-9.524000000000004,2026-01-23,2026-04-09,10.532999999999992,2026-03-25,2026-07-07,-1.197500000000006,2026-05-21,2026-08-01,1025
ALL,250,window_mean_pnl,-0.03809600000000002,2026-01-23,2026-04-09,0.04213199999999997,2026-03-25,2026-07-07,-0.004790000000000024,2026-05-21,2026-08-01,1025
ALL,250,window_hit_rate,0.772,2026-01-23,2026-04-09,0.948,2022-09-29,2025-09-18,0.84,2026-05-21,2026-08-01,1025
ALL,250,window_roi_on_stake,-0.047093960461643464,2026-01-23,2026-04-09,0.04827289101133376,2026-03-25,2026-07-07,-0.005674884784437339,2026-05-21,2026-08-01,1025
FORECASTEX,25,window_total_pnl,-1.3199999999999998,2025-08-07,2025-10-17,1.9099999999999993,2025-01-01,2025-04-02,0.09999999999999949,2026-05-07,2026-07-29,158
FORECASTEX,25,window_mean_pnl,-0.05279999999999999,2025-08-07,2025-10-17,0.07639999999999997,2025-01-01,2025-04-02,0.003999999999999979,2026-05-07,2026-07-29,158
FORECASTEX,25,window_hit_rate,0.92,2025-07-18,2025-10-02,1.0,2025-01-01,2025-03-27,0.96,2026-05-07,2026-07-29,158
FORECASTEX,25,window_roi_on_stake,-0.054840049854590775,2025-08-07,2025-10-17,0.0836252189141856,2025-01-01,2025-04-02,0.004228329809725137,2026-05-07,2026-07-29,158
FORECASTEX,50,window_total_pnl,-0.8100000000000003,2025-08-07,2026-01-08,2.6599999999999993,2025-01-01,2025-06-13,0.5199999999999997,2026-02-18,2026-07-29,133
FORECASTEX,50,window_mean_pnl,-0.016200000000000006,2025-08-07,2026-01-08,0.05319999999999998,2025-01-01,2025-06-13,0.010399999999999994,2026-02-18,2026-07-29,133
FORECASTEX,50,window_hit_rate,0.96,2025-05-06,2025-10-02,1.0,2025-01-01,2025-06-12,0.98,2026-02-18,2026-07-29,133
FORECASTEX,50,window_roi_on_stake,-0.016766714965845586,2025-08-07,2026-01-08,0.05678906917164815,2025-01-01,2025-06-12,0.01083784910379324,2026-02-18,2026-07-29,133
FORECASTEX,100,window_total_pnl,-0.4100000000000008,2025-08-07,2026-05-15,1.889999999999999,2025-01-01,2025-12-01,0.899999999999999,2025-10-02,2026-07-29,83
FORECASTEX,100,window_mean_pnl,-0.004100000000000008,2025-08-07,2026-05-15,0.01889999999999999,2025-01-01,2025-12-01,0.00899999999999999,2025-10-02,2026-07-29,83
FORECASTEX,100,window_hit_rate,0.97,2025-08-07,2026-05-15,0.98,2025-01-01,2025-12-01,0.98,2025-10-02,2026-07-29,83
FORECASTEX,100,window_roi_on_stake,-0.004252670884762999,2025-08-07,2026-05-15,0.019871727473451787,2025-01-01,2025-12-01,0.009365244536940678,2025-10-02,2026-07-29,83
KALSHI,25,window_total_pnl,-2.5150000000000006,2022-01-01,2022-10-06,1.8999999999999997,2022-10-02,2023-10-04,-0.1600000000000003,2026-05-05,2026-06-11,205
KALSHI,25,window_mean_pnl,-0.10060000000000002,2022-01-01,2022-10-06,0.07599999999999998,2022-10-02,2023-10-04,-0.0064000000000000124,2026-05-05,2026-06-11,205
KALSHI,25,window_hit_rate,0.72,2021-11-29,2022-09-29,1.0,2022-10-02,2023-10-04,0.88,2026-05-05,2026-06-11,205
KALSHI,25,window_roi_on_stake,-0.12259322446990009,2022-01-01,2022-10-06,0.08225108225108224,2022-10-02,2023-10-04,-0.007220216606498209,2026-05-05,2026-06-11,205
KALSHI,50,window_total_pnl,-1.9400000000000004,2022-07-30,2024-06-30,1.5199999999999994,2026-01-08,2026-05-11,-0.5300000000000011,2026-03-02,2026-06-11,180
KALSHI,50,window_mean_pnl,-0.03880000000000001,2022-07-30,2024-06-30,0.030399999999999986,2026-01-08,2026-05-11,-0.010600000000000023,2026-03-02,2026-06-11,180
KALSHI,50,window_hit_rate,0.84,2021-07-01,2023-06-20,0.96,2022-10-02,2024-09-07,0.9,2026-03-02,2026-06-11,180
KALSHI,50,window_roi_on_stake,-0.04222899434044407,2022-07-30,2024-06-30,0.03342128408091467,2026-01-08,2026-05-11,-0.011640676477048126,2026-03-02,2026-06-11,180
KALSHI,100,window_total_pnl,-1.1900000000000015,2025-03-23,2026-04-27,2.099999999999999,2022-10-06,2025-09-29,-0.20000000000000126,2025-09-15,2026-06-11,130
KALSHI,100,window_mean_pnl,-0.011900000000000015,2025-03-23,2026-04-27,0.02099999999999999,2022-10-06,2025-09-29,-0.0020000000000000126,2025-09-15,2026-06-11,130
KALSHI,100,window_hit_rate,0.9,2021-07-01,2025-03-03,0.95,2022-10-02,2025-09-25,0.92,2025-09-15,2026-06-11,130
KALSHI,100,window_roi_on_stake,-0.012803959543791711,2025-03-23,2026-04-27,0.022604951560818078,2022-10-06,2025-09-29,-0.002175095160413282,2025-09-15,2026-06-11,130
POLYMARKET,25,window_total_pnl,-4.98,2025-10-01,2025-10-09,4.274999999999999,2025-10-25,2025-10-30,-3.694000000000001,2026-07-25,2026-08-01,839
POLYMARKET,25,window_mean_pnl,-0.19920000000000002,2025-10-01,2025-10-09,0.17099999999999993,2025-10-25,2025-10-30,-0.14776000000000003,2026-07-25,2026-08-01,839
POLYMARKET,25,window_hit_rate,0.56,2026-01-27,2026-01-30,1.0,2023-04-18,2024-11-23,0.64,2026-07-25,2026-08-01,839
POLYMARKET,25,window_roi_on_stake,-0.24973204715969985,2026-01-27,2026-01-30,0.2283044058744993,2025-10-25,2025-10-30,-0.18756981821874688,2026-07-25,2026-08-01,839
POLYMARKET,50,window_total_pnl,-6.866499999999999,2026-01-28,2026-02-03,6.421499999999997,2026-04-09,2026-04-22,0.0459999999999986,2026-07-23,2026-08-01,814
POLYMARKET,50,window_mean_pnl,-0.13732999999999998,2026-01-28,2026-02-03,0.12842999999999993,2026-04-09,2026-04-22,0.000919999999999972,2026-07-23,2026-08-01,814
POLYMARKET,50,window_hit_rate,0.62,2026-01-25,2026-01-30,0.96,2023-04-18,2025-04-24,0.8,2026-07-23,2026-08-01,814
POLYMARKET,50,window_roi_on_stake,-0.18133442488743348,2026-01-28,2026-02-03,0.1544617322173536,2025-10-17,2025-10-30,0.0011513240226259849,2026-07-23,2026-08-01,814
POLYMARKET,100,window_total_pnl,-8.8255,2026-01-21,2026-02-06,6.761499999999997,2025-10-30,2025-12-05,-3.6940000000000035,2026-07-17,2026-08-01,764
POLYMARKET,100,window_mean_pnl,-0.088255,2026-01-21,2026-02-06,0.06761499999999997,2025-10-30,2025-12-05,-0.036940000000000035,2026-07-17,2026-08-01,764
POLYMARKET,100,window_hit_rate,0.68,2026-01-21,2026-02-06,0.93,2026-05-12,2026-07-11,0.77,2026-07-17,2026-08-01,764
POLYMARKET,100,window_roi_on_stake,-0.11487722175579722,2026-01-21,2026-02-06,0.0885531423775049,2025-10-17,2025-11-12,-0.04577787691773866,2026-07-17,2026-08-01,764
POLYMARKET,250,window_total_pnl,-10.847000000000007,2025-12-06,2026-03-20,11.49249999999999,2026-02-25,2026-07-11,-0.06500000000000838,2026-04-30,2026-08-01,614
POLYMARKET,250,window_mean_pnl,-0.043388000000000024,2025-12-06,2026-03-20,0.04596999999999996,2026-02-25,2026-07-11,-0.00026000000000003353,2026-04-30,2026-08-01,614
POLYMARKET,250,window_hit_rate,0.744,2025-12-05,2026-03-20,0.888,2026-02-25,2026-07-11,0.836,2026-04-30,2026-08-01,614
POLYMARKET,250,window_roi_on_stake,-0.05510370998796022,2025-12-06,2026-03-20,0.05459425436148352,2026-02-25,2026-07-11,-0.00031090809078520264,2026-04-30,2026-08-01,614
