label,threshold_yes,threshold_no,trade_rows,executed_trades,execution_rate,buy_yes,buy_no,hit_rate,total_net_pnl,mean_net_pnl,median_net_pnl,total_stake,aggregate_roi_on_stake
ALL,0.5,0.5,1975,1975,1.0,1393,582,0.7711392405063291,61.11849772291449,0.030946074796412402,0.12,1460.7815,0.04183958909865335
FORECASTEX,0.5,0.5,185,185,1.0,3,182,0.972972972972973,2.330000000000002,0.012594594594594605,0.010000000000000018,175.82,0.013252189739506324
KALSHI,0.5,0.5,355,355,1.0,253,102,0.8028169014084507,9.115000000000004,0.02567605633802818,0.040000000000000036,275.635,0.03306909499882092
POLYMARKET,0.5,0.5,1435,1435,1.0,1137,298,0.7372822299651568,49.67349772291448,0.03461567785568954,0.17000000000000004,1009.3264999999999,0.04921449870078165
ALL,0.525,0.475,1975,1541,0.780253164556962,1033,508,0.8124594419208306,8.263499222262698,0.005362426490760999,0.09999999999999999,1242.6365,0.00664997303898823
FORECASTEX,0.525,0.475,185,185,1.0,3,182,0.972972972972973,2.330000000000002,0.012594594594594605,0.010000000000000018,175.82,0.013252189739506324
KALSHI,0.525,0.475,355,281,0.7915492957746478,196,85,0.8434163701067615,-1.644999999999998,-0.005854092526690384,0.03500000000000003,238.39499999999998,-0.006900312506554241
POLYMARKET,0.525,0.475,1435,1075,0.7491289198606271,834,241,0.7767441860465116,7.578499222262694,0.007049766718383902,0.15500000000000003,828.4214999999999,0.009148119915118928
ALL,0.55,0.44999999999999996,1975,1482,0.7503797468354431,1002,480,0.8211875843454791,4.863499222262702,0.0032817133753459526,0.09999999999999998,1211.0365000000002,0.004015980709303726
FORECASTEX,0.55,0.44999999999999996,185,185,1.0,3,182,0.972972972972973,2.330000000000002,0.012594594594594605,0.010000000000000018,175.82,0.013252189739506324
KALSHI,0.55,0.44999999999999996,355,271,0.7633802816901408,192,79,0.8597785977859779,-0.30499999999999894,-0.0011254612546125421,0.03500000000000003,233.05499999999998,-0.0013087039540022698
POLYMARKET,0.55,0.44999999999999996,1435,1026,0.7149825783972126,807,219,0.783625730994152,2.838499222262699,0.0027665684427511687,0.15500000000000003,802.1614999999999,0.0035385632721873328
ALL,0.575,0.42500000000000004,1975,1429,0.7235443037974684,968,461,0.8292512246326103,2.4684992222627047,0.0017274312262160285,0.09999999999999998,1181.4315000000001,0.0020894137512523616
FORECASTEX,0.575,0.42500000000000004,185,185,1.0,3,182,0.972972972972973,2.330000000000002,0.012594594594594605,0.010000000000000018,175.82,0.013252189739506324
KALSHI,0.575,0.42500000000000004,355,255,0.7183098591549296,183,72,0.8666666666666667,-3.439999999999997,-0.01349019607843136,0.030000000000000027,224.19,-0.015344127748784499
POLYMARKET,0.575,0.42500000000000004,1435,989,0.689198606271777,782,207,0.7927199191102123,3.5784992222627015,0.0036183005280714877,0.15500000000000003,781.4214999999999,0.0045794737184255896
ALL,0.6,0.4,1975,1377,0.6972151898734177,937,440,0.8387799564270153,2.8984992222627017,0.0021049377067993476,0.09999999999999998,1151.0115,0.002518219168325166
FORECASTEX,0.6,0.4,185,184,0.9945945945945946,2,182,0.9728260869565217,1.9300000000000015,0.010489130434782617,0.010000000000000018,175.23000000000002,0.01101409575985848
KALSHI,0.6,0.4,355,241,0.6788732394366197,175,66,0.8921161825726142,-1.2499999999999976,-0.005186721991701235,0.03500000000000003,216.0,-0.0057870370370370254
POLYMARKET,0.6,0.4,1435,952,0.6634146341463415,760,192,0.7993697478991597,2.2184992222626967,0.002330356325906194,0.15500000000000003,759.7815,0.002919917400282445
ALL,0.625,0.375,1975,1319,0.6678481012658228,903,416,0.8506444275966641,5.3584992222627,0.0040625467947404854,0.09999999999999998,1115.5715,0.004803366904104937
FORECASTEX,0.625,0.375,185,182,0.9837837837837838,2,180,0.9835164835164835,3.1700000000000017,0.017417582417582428,0.010000000000000018,174.01,0.01821734383081433
KALSHI,0.625,0.375,355,235,0.6619718309859155,171,64,0.902127659574468,-0.5999999999999981,-0.002553191489361694,0.03500000000000003,212.35,-0.002825523899222972
POLYMARKET,0.625,0.375,1435,902,0.6285714285714286,730,172,0.8104212860310421,2.788499222262699,0.003091462552397671,0.15000000000000002,729.2115,0.003823992383914268
ALL,0.65,0.35,1975,1274,0.6450632911392405,869,405,0.8602825745682888,7.958499222262702,0.006246859672105732,0.09799999999999998,1086.9715,0.007321718391202254
FORECASTEX,0.65,0.35,185,182,0.9837837837837838,2,180,0.9835164835164835,3.1700000000000017,0.017417582417582428,0.010000000000000018,174.01,0.01821734383081433
