feature_a,feature_b,n_overlap,spearman_rho,pearson_r,abs_spearman,near_duplicate_flag
multivariate_anomaly_distance,prequential_feature_distance,74,1,1,1,true
jump_score_6h,cusum_score_6h,108,0.9515841462,0.9991323118,0.9515841462,true
velocity_6h_per_hour,vol_scaled_delta_6h,108,0.9396492219,0.4310155739,0.9396492219,true
conditional_z_move_6h,velocity_6h_per_hour,88,0.7962919192,0.93143972,0.7962919192,false
conditional_z_move_6h,vol_scaled_delta_6h,88,0.7663076653,0.398009208,0.7663076653,false
jump_score_6h,conformal_log_martingale_6h,108,0.5594548653,0.2209688033,0.5594548653,false
conditional_z_move_6h,signed_notional_imbalance_24h,77,0.5433345176,0.2899952782,0.5433345176,false
cusum_score_6h,conformal_log_martingale_6h,108,0.522729132,0.2188620597,0.522729132,false
conditional_z_move_6h,large_trade_notional_share_24h,77,0.4745608529,0.3473619041,0.4745608529,false
conformal_log_martingale_6h,post_jump_half_life_hours,33,-0.4392866375,-0.3051478812,0.4392866375,false
jump_score_6h,multivariate_anomaly_distance,74,0.4296706685,0.5556691986,0.4296706685,false
jump_score_6h,prequential_feature_distance,74,0.4296706685,0.5556691986,0.4296706685,false
cusum_score_6h,multivariate_anomaly_distance,74,0.4290612923,0.5528951642,0.4290612923,false
cusum_score_6h,prequential_feature_distance,74,0.4290612923,0.5528951642,0.4290612923,false
vol_scaled_delta_6h,large_trade_notional_share_24h,96,0.3817909599,0.1816538954,0.3817909599,false
velocity_6h_per_hour,large_trade_notional_share_24h,100,0.3653063565,0.2777350276,0.3653063565,false
signed_notional_imbalance_24h,large_trade_notional_share_24h,100,0.3240054973,0.2612608361,0.3240054973,false
wallet_hhi_notional_24h,large_trade_notional_share_24h,100,0.314861719,0.3497238803,0.314861719,false
matrix_profile_discord_6h,conformal_log_martingale_6h,107,0.3135936619,0.2672506353,0.3135936619,false
conformal_log_martingale_6h,multivariate_anomaly_distance,74,0.3080645898,0.354677111,0.3080645898,false
conformal_log_martingale_6h,prequential_feature_distance,74,0.3080645898,0.354677111,0.3080645898,false
wallet_hhi_notional_24h,multivariate_anomaly_distance,74,0.304109589,0.2486165666,0.304109589,false
wallet_hhi_notional_24h,prequential_feature_distance,74,0.304109589,0.2486165666,0.304109589,false
signed_notional_imbalance_24h,post_jump_half_life_hours,30,-0.2988796111,-0.3225074257,0.2988796111,false
signed_notional_imbalance_24h,same_direction_transition_share_lifecycle,100,0.269712345,0.1967129841,0.269712345,false
vol_scaled_delta_6h,signed_notional_imbalance_24h,97,0.2629614301,0.006517733203,0.2629614301,false
cusum_score_6h,matrix_profile_discord_6h,103,0.2604632274,0.1097549858,0.2604632274,false
signed_notional_imbalance_24h,multivariate_anomaly_distance,74,-0.2552759801,-0.3431701724,0.2552759801,false
signed_notional_imbalance_24h,prequential_feature_distance,74,-0.2552759801,-0.3431701724,0.2552759801,false
jump_score_6h,post_jump_half_life_hours,33,-0.2422222364,0.01764798478,0.2422222364,false
velocity_6h_per_hour,signed_notional_imbalance_24h,103,0.2217922753,0.09312097261,0.2217922753,false
signed_notional_imbalance_24h,matrix_profile_discord_6h,95,-0.2201605487,-0.2325570335,0.2201605487,false
jump_score_6h,matrix_profile_discord_6h,103,0.2054180218,0.1022650692,0.2054180218,false
vol_scaled_delta_6h,multivariate_anomaly_distance,74,-0.2034404097,-0.4201434144,0.2034404097,false
vol_scaled_delta_6h,prequential_feature_distance,74,-0.2034404097,-0.4201434144,0.2034404097,false
cusum_score_6h,sign_consistency_1_6_24h,108,0.1884074252,0.1142986599,0.1884074252,false
conditional_z_move_6h,same_direction_transition_share_lifecycle,84,0.1865612329,0.1784979549,0.1865612329,false
large_trade_notional_share_24h,post_jump_half_life_hours,30,-0.1822722485,-0.1698433252,0.1822722485,false
jump_score_6h,sign_consistency_1_6_24h,108,0.1791434577,0.109167389,0.1791434577,false
signed_notional_imbalance_24h,wallet_hhi_notional_24h,103,0.175036656,0.05486916027,0.175036656,false
velocity_6h_per_hour,multivariate_anomaly_distance,74,-0.1747738518,-0.1529273141,0.1747738518,false
velocity_6h_per_hour,prequential_feature_distance,74,-0.1747738518,-0.1529273141,0.1747738518,false
multivariate_anomaly_distance,post_jump_half_life_hours,27,0.1677256786,0.2103209679,0.1677256786,false
post_jump_half_life_hours,prequential_feature_distance,27,0.1677256786,0.2103209679,0.1677256786,false
conditional_z_move_6h,multivariate_anomaly_distance,74,-0.1646057016,-0.1401627744,0.1646057016,false
conditional_z_move_6h,prequential_feature_distance,74,-0.1646057016,-0.1401627744,0.1646057016,false
same_direction_transition_share_lifecycle,post_jump_half_life_hours,33,0.1641025737,0.1876135031,0.1641025737,false
signed_notional_imbalance_24h,cusum_score_6h,97,-0.1490455124,-0.02267245905,0.1490455124,false
matrix_profile_discord_6h,sign_consistency_1_6_24h,107,0.1456645835,0.1672537071,0.1456645835,false
large_trade_notional_share_24h,conformal_log_martingale_6h,99,0.1373038054,0.1659273405,0.1373038054,false
matrix_profile_discord_6h,multivariate_anomaly_distance,71,0.1345799514,0.1829330123,0.1345799514,false
matrix_profile_discord_6h,prequential_feature_distance,71,0.1345799514,0.1829330123,0.1345799514,false
velocity_6h_per_hour,wallet_hhi_notional_24h,103,0.1335952043,0.1522508704,0.1335952043,false
wallet_hhi_notional_24h,post_jump_half_life_hours,30,-0.132380467,-0.1979754911,0.132380467,false
vol_scaled_delta_6h,wallet_hhi_notional_24h,97,0.1314665233,0.1685889279,0.1314665233,false
large_trade_notional_share_24h,sign_consistency_1_6_24h,100,-0.1292185377,-0.125123304,0.1292185377,false
matrix_profile_discord_6h,post_jump_half_life_hours,33,0.1289851445,0.2203118314,0.1289851445,false
same_direction_transition_share_lifecycle,sign_consistency_1_6_24h,109,-0.126229404,-0.1293339271,0.126229404,false
vol_scaled_delta_6h,cusum_score_6h,108,0.1255007859,-0.9111472726,0.1255007859,false
conditional_z_move_6h,wallet_hhi_notional_24h,77,0.1221410169,0.1282490321,0.1221410169,false
signed_notional_imbalance_24h,jump_score_6h,97,-0.1182031003,-0.02031368769,0.1182031003,false
vol_scaled_delta_6h,post_jump_half_life_hours,33,-0.1128582457,-0.007612908457,0.1128582457,false
cusum_score_6h,post_jump_half_life_hours,33,-0.1121461296,0.01401237889,0.1121461296,false
same_direction_transition_share_lifecycle,large_trade_notional_share_24h,97,0.1105457026,0.02742939769,0.1105457026,false
signed_notional_imbalance_24h,sign_consistency_1_6_24h,101,0.1104355598,0.1169314674,0.1104355598,false
large_trade_notional_share_24h,matrix_profile_discord_6h,94,0.09887019556,0.06746306682,0.09887019556,false
large_trade_notional_share_24h,cusum_score_6h,96,0.09291014456,-0.1049146053,0.09291014456,false
vol_scaled_delta_6h,matrix_profile_discord_6h,103,-0.09160739124,-0.1347951295,0.09160739124,false
vol_scaled_delta_6h,same_direction_transition_share_lifecycle,104,0.08961878713,0.07580608804,0.08961878713,false
wallet_hhi_notional_24h,matrix_profile_discord_6h,95,-0.07052233295,-0.1060332048,0.07052233295,false
velocity_6h_per_hour,same_direction_transition_share_lifecycle,111,0.06963629328,0.04508299747,0.06963629328,false
vol_scaled_delta_6h,jump_score_6h,108,0.06540522682,-0.9130472928,0.06540522682,false
velocity_6h_per_hour,cusum_score_6h,108,0.06491795158,-0.2223378828,0.06491795158,false
jump_score_6h,large_trade_notional_share_24h,96,0.06361434855,-0.1011425435,0.06361434855,false
wallet_hhi_notional_24h,sign_consistency_1_6_24h,101,-0.05895525807,-0.0798205011,0.05895525807,false
conditional_z_move_6h,matrix_profile_discord_6h,84,-0.05449550757,-0.07479548869,0.05449550757,false
conformal_log_martingale_6h,sign_consistency_1_6_24h,112,0.05134611146,0.07841382467,0.05134611146,false
