feature_id,architecture_family,role,primary_column,events_total,structural_max_events,materialized_events,missing_events,minimum_required,status
F01,H2_RESIDUAL_STATE,CORE,conditional_z_move_6h,117,115,88,29,80,PASS_COVERAGE
F02,H2_TRAJECTORY,CORE,velocity_6h_per_hour,117,115,115,2,110,PASS_COVERAGE
F03,H2_STATE_NORMALIZATION,CORE,vol_scaled_delta_6h,117,115,108,9,105,PASS_COVERAGE
F04,H2_FLOW,CORE,signed_notional_imbalance_24h,117,115,103,14,95,PASS_COVERAGE
F05,H2_CONCENTRATION,CORE,wallet_hhi_notional_24h,117,115,103,14,95,PASS_COVERAGE
F06,H2_FLOW_PERSISTENCE,CORE,same_direction_transition_share_lifecycle,117,115,111,6,105,PASS_COVERAGE
F07,H2_REGIME_CHANGE,CORE,jump_score_6h,117,115,108,9,100,PASS_COVERAGE
F08,H2_FLOW_SIZE,CHALLENGER,large_trade_notional_share_24h,117,115,100,17,70,PASS_COVERAGE
F09,H2_SEQUENTIAL_EVIDENCE,CHALLENGER,cusum_score_6h,117,115,108,9,100,PASS_COVERAGE
F10,H2_PATTERN_NOVELTY,CHALLENGER,matrix_profile_discord_6h,117,115,107,10,80,PASS_COVERAGE
F11,H2_SEQUENTIAL_EVIDENCE,CHALLENGER,conformal_log_martingale_6h,117,115,112,5,100,PASS_COVERAGE
F12,H2_MULTIVARIATE_ANOMALY,CHALLENGER,multivariate_anomaly_distance,117,115,74,43,70,PASS_COVERAGE
F13,H2_TRAJECTORY,ROBUSTNESS,sign_consistency_1_6_24h,117,115,113,4,100,PASS_COVERAGE
F14,H2_PRICE_DYNAMICS,CONDITIONAL,post_jump_half_life_hours,117,115,33,84,40,FAIL_COVERAGE
M01,H2_MODEL_POOLING,MODEL_LEVEL,,117,115,0,117,0,PROTOCOL_ONLY_NOT_LABEL_FREE_MATERIALIZABLE
M02,H2_FORECAST_DISAGREEMENT,MODEL_LEVEL,,117,115,0,117,0,PROTOCOL_ONLY_NOT_LABEL_FREE_MATERIALIZABLE
R01,H2_CALIBRATION,MODEL_LEVEL_ROBUSTNESS,,117,115,0,117,0,PROTOCOL_ONLY_NOT_LABEL_FREE_MATERIALIZABLE
R02,H2_DRIFT,ROBUSTNESS,prequential_feature_distance,117,115,74,43,70,PASS_COVERAGE
