feature,n,mean,sd,min,p05,p25,median,p75,p95,max,unique_values
conditional_z_move_6h,88,0.3696117953,1.61072082,-5.068614485,-1.709567419,-0.149923769,0.2964220761,0.924862802,2.27819075,7.466532782,88
velocity_6h_per_hour,115,0.0006688405797,0.01174234493,-0.065,-0.01166666667,-0.001666666667,0.0008333333333,0.004583333333,0.01583333333,0.04333333333,58
vol_scaled_delta_6h,108,-0.8968710973,15.65988563,-152.5492735,-4.089832029,-0.6923952098,0.04252367168,1.438506752,7.44287768,23.63356627,93
signed_notional_imbalance_24h,103,0.4147991377,0.5726827656,-1,-0.7291934008,-0.002850120876,0.6407182336,0.888908305,0.9832198305,1,100
wallet_hhi_notional_24h,103,0.295971046,0.1914983249,0.03343287868,0.09344302115,0.1658120631,0.2406342264,0.3514335897,0.7526897972,0.9099156945,103
same_direction_transition_share_lifecycle,111,0.6028151165,0.1025885328,0.3333333333,0.4522882181,0.5405882353,0.6073298429,0.6666666667,0.7785714286,0.8888888889,98
jump_score_6h,108,10.95573473,48.80293011,0,0,1.244725585,2.592792518,5.256756379,37.72373087,500.4721435,98
large_trade_notional_share_24h,100,0.4109137085,0.3452550327,0,0,0,0.4342833714,0.7596555138,0.8842640484,0.9565187587,67
cusum_score_6h,108,5.205531161,22.73644241,0,0,0.5785171831,1.330905214,3.161167386,15.83519691,233.5050252,96
matrix_profile_discord_6h,107,0.3706864294,0.2489252944,0,0,0.2179569583,0.3984931271,0.5138431368,0.7816537042,1,87
conformal_log_martingale_6h,112,0.3013101395,0.4858368131,0,0,0,0,0.3669845875,1.214793266,2.435564528,34
multivariate_anomaly_distance,74,1.518206452,1.329839721,0.1583724886,0.4636345459,0.7125206268,1.17853773,1.676424546,4.184149658,6.877043232,74
sign_consistency_1_6_24h,113,0.6017699115,0.3598820059,0,0,0.3333333333,0.6666666667,1,1,1,4
post_jump_half_life_hours,33,4.272727273,3.933328664,1,1,1,3,5,12.8,15,12
prequential_feature_distance,74,1.518206452,1.329839721,0.1583724886,0.4636345459,0.7125206268,1.17853773,1.676424546,4.184149658,6.877043232,74
