company_event_date,prior_event_count,batch_event_count,score_batch,event_keys
2025-06-05,0,1,false,AVGO|2025-06-05
2025-09-17,1,1,false,BLSH|2025-09-17
2025-09-25,2,1,false,JBL|2025-09-25
2025-10-09,3,2,false,APLD|2025-10-09|PEP|2025-10-09
2025-10-14,5,1,false,BLK|2025-10-14
2025-10-16,6,1,false,GBCI|2025-10-16
2025-10-17,7,1,false,AXP|2025-10-17
2025-10-21,8,2,false,CB|2025-10-21|MAT|2025-10-21
2025-10-23,10,3,false,COUR|2025-10-23|DOW|2025-10-23|HAS|2025-10-23
2025-10-28,13,1,false,JBLU|2025-10-28
2025-10-29,14,4,false,BA|2025-10-29|KHC|2025-10-29|SBUX|2025-10-29|TDOC|2025-10-29
2025-10-30,18,1,false,BUD|2025-10-30
2025-10-31,19,1,false,CL|2025-10-31
2025-11-04,20,2,false,AMD|2025-11-04|HOG|2025-11-04
2025-11-05,22,3,false,FIG|2025-11-05|MET|2025-11-05|SONO|2025-11-05
2025-11-06,25,6,false,DBX|2025-11-06|EXPE|2025-11-06|MRNA|2025-11-06|NWSA|2025-11-06|SG|2025-11-06|UAA|2025-11-06
2025-11-12,31,1,false,CRCL|2025-11-12
2025-11-13,32,1,false,GAMB|2025-11-13
2025-11-18,33,2,false,ACM|2025-11-18|POWL|2025-11-18
2025-11-19,35,2,false,NVDA|2025-11-19|TGT|2025-11-19
2025-11-20,37,1,false,BBWI|2025-11-20
2025-12-02,38,1,false,UNFI|2025-12-02
2025-12-03,39,1,false,CRM|2025-12-03
2025-12-04,40,1,true,DG|2025-12-04
2025-12-09,41,1,true,CASY|2025-12-09
2026-01-21,42,1,true,TFC|2026-01-21
2026-01-22,43,1,true,MKC|2026-01-22
2026-01-27,44,1,true,UNP|2026-01-27
2026-01-28,45,1,true,IBM|2026-01-28
2026-01-29,46,1,true,V|2026-01-29
2026-02-03,47,1,true,CMG|2026-02-03
2026-02-04,48,2,true,EFX|2026-02-04|QCOM|2026-02-04
2026-02-05,50,2,true,KKR|2026-02-05|RDDT|2026-02-05
2026-02-09,52,1,true,CHGG|2026-02-09
2026-02-10,53,3,true,F|2026-02-10|HOG|2026-02-10|MAR|2026-02-10
2026-02-11,56,2,true,CSCO|2026-02-11|PAG|2026-02-11
2026-02-18,58,1,true,EBAY|2026-02-18
2026-02-19,59,2,true,DBX|2026-02-19|WMT|2026-02-19
2026-02-24,61,1,true,CSGP|2026-02-24
2026-02-26,62,3,true,RKLB|2026-02-26|SHAK|2026-02-26|WRBY|2026-02-26
2026-03-03,65,1,true,BOX|2026-03-03
2026-03-04,66,1,true,ANF|2026-03-04
2026-03-05,67,1,true,COST|2026-03-05
2026-03-09,68,1,true,CASY|2026-03-09
2026-03-10,69,1,true,UNFI|2026-03-10
2026-03-17,70,1,true,ASO|2026-03-17
2026-03-18,71,2,true,GIS|2026-03-18|WB|2026-03-18
2026-03-25,73,1,true,PAYX|2026-03-25
2026-04-08,74,1,true,DAL|2026-04-08
2026-04-16,75,1,true,USB|2026-04-16
2026-04-23,76,2,true,AXP|2026-04-23|CBRE|2026-04-23
2026-04-27,78,1,true,DPZ|2026-04-27
2026-04-28,79,2,true,IVZ|2026-04-28|KO|2026-04-28
2026-04-29,81,5,true,AMZN|2026-04-29|EBAY|2026-04-29|GD|2026-04-29|HUM|2026-04-29|VIRT|2026-04-29
2026-04-30,86,1,true,H|2026-04-30
2026-05-01,87,1,true,EL|2026-05-01
2026-05-04,88,3,true,GRAB|2026-05-04|HESM|2026-05-04|WMB|2026-05-04
2026-05-05,91,2,true,EA|2026-05-05|NVTS|2026-05-05
2026-05-06,93,1,true,UBER|2026-05-06
2026-05-07,94,2,true,DKNG|2026-05-07|WRBY|2026-05-07
2026-05-11,96,1,true,CRCL|2026-05-11
2026-05-12,97,1,true,ETOR|2026-05-12
2026-05-13,98,1,true,CSCO|2026-05-13
2026-05-14,99,1,true,AMAT|2026-05-14
2026-05-20,100,1,true,INTU|2026-05-20
2026-05-21,101,1,true,DE|2026-05-21
2026-06-02,102,1,true,PANW|2026-06-02
2026-06-04,103,2,true,DOCU|2026-06-04|IOT|2026-06-04
2026-06-08,105,1,true,MTN|2026-06-08
2026-06-10,106,1,true,CHWY|2026-06-10
2026-07-09,107,1,true,PEP|2026-07-09
2026-07-14,108,1,true,BAC|2026-07-14
2026-07-15,109,2,true,JNJ|2026-07-15|MTB|2026-07-15
2026-07-21,111,1,true,MBWM|2026-07-21
2026-07-23,112,1,true,AAL|2026-07-23
2026-07-24,113,1,true,VZ|2026-07-24
2026-07-28,114,1,true,PYPL|2026-07-28
