company_event_date,prior_events,m2cal_theta,core_theta,mp_theta
2025-12-04,40,"[0.5950873780004569,0.4668939600084917]","[0.3930990798519976,0.8815824970271399,-0.27955235376609844,-0.5491592467454103,-0.6494565609246058,-0.9604517395929763,0.11192324713809798,0.35785666713900416]","[0.29175466668469285,0.9265238215957203,-0.1905470706445537,-0.5761739065758452,-0.7495063073005735,-0.9653171953679418,0.12933900028318476,0.4150939087355127,-0.37369394496532393]"
2025-12-09,41,"[0.6066333821002476,0.4834250644400821]","[0.42059716908065353,0.8739147351797004,-0.2304820434123678,-0.5124166020203943,-0.5847667449192123,-0.8938787745220205,0.24337097446342462,0.3817781962334864]","[0.368122121284586,0.90088897282744,-0.16762339400576942,-0.521165473630098,-0.6377413576697305,-0.8816655704373478,0.27250017009485134,0.42087137905835137,-0.2323765527429941]"
2026-01-21,42,"[0.604715208920747,0.5059787652488683]","[0.42135747777325544,0.9066326718350367,-0.24745511779239748,-0.5102105100895312,-0.5667668449164182,-0.8908282549336421,0.26739800113692336,0.37598206522904803]","[0.362147282598462,0.9359648608964254,-0.1759874837598901,-0.518920244292047,-0.6233263315932954,-0.8771488174475786,0.29858843659694456,0.41591575484752535,-0.2459825475778781]"
2026-01-22,43,"[0.7060194918251677,0.45439776956719724]","[0.5804195039784592,0.8407677529353129,-0.2841829218118386,-0.5730553496496329,-0.6249387718520816,-0.8919354416087761,0.255150981492048,0.4617858735655396]","[0.5348332928188289,0.8628277509083095,-0.21529227068340925,-0.581801086716825,-0.6813890301040817,-0.878358286622348,0.28391875608180883,0.5038046444302723,-0.21929586973232287]"
2026-01-27,44,"[0.6543228952366561,0.3991156117038293]","[0.3492223105054072,0.7940453575418851,-0.3889621312010955,-0.46930396011288594,-0.6934016316939813,-0.7361212270389282,0.2934204303774017,0.5374807158843803]","[0.2851252969705337,0.8318573658156493,-0.2495434501451482,-0.49358619110959534,-0.7899897289089086,-0.7210487498665995,0.34378205551428687,0.6087750821972951,-0.4204466273476979]"
2026-01-28,45,"[0.7247746589887286,0.36960905935667515]","[0.4660666136330623,0.7473789451151407,-0.3805445981138746,-0.4919496244607805,-0.7062497000290626,-0.7605852082172935,0.28907166939279416,0.5580497907000338]","[0.42537963580637667,0.7734328729473622,-0.23420659251023204,-0.5226772084223905,-0.7995919704957989,-0.7463368461711448,0.33767238285751,0.6293914847042477,-0.4023580504371115]"
2026-01-29,46,"[0.724639424901835,0.39082804894977097]","[0.427634670723155,0.7852833912901173,-0.4058948165353881,-0.49091900624194046,-0.7107492602561395,-0.7802786122313826,0.28304939759513054,0.5363954204023851]","[0.39165952121532505,0.8081054628067234,-0.2522130155415159,-0.5232679440338968,-0.80335222668851,-0.7641073279834283,0.335683218582564,0.6058159730420986,-0.4180986521016721]"
2026-02-03,47,"[0.728158834945763,0.40890211079849925]","[0.3774824026364651,0.8369834773156616,-0.4302989874252677,-0.48476591553455817,-0.7351554257454004,-0.7729678288028932,0.2701416472392469,0.5041040315124009]","[0.3337779478326201,0.8664199162417581,-0.28581658861837556,-0.5154727642284604,-0.8257589392122464,-0.7608706628524263,0.31737164982095695,0.5632240575676347,-0.40313835003349896]"
2026-02-04,48,"[0.7848703847494604,0.388440333665972]","[0.43377122978389093,0.8522829113425634,-0.4115270597612652,-0.5360192120615795,-0.6843161058485449,-0.7911775578076661,0.22583851102973387,0.5304779765005111]","[0.39492187281912633,0.8758443793802894,-0.2634598967457564,-0.5740651669335255,-0.764616007418388,-0.7814086932095814,0.267113238807276,0.593030476861953,-0.3933896574604813]"
2026-02-05,50,"[0.7989155520285177,0.41775503972103684]","[0.2796722343097359,0.9723776493378021,-0.4206826662577927,-0.6008401821007345,-0.6423502511254789,-0.7974620385374507,0.14332483328672377,0.4807968678174764]","[0.21560651785190438,1.0063894627117032,-0.2814642192648928,-0.6463545182663291,-0.7159019931577596,-0.7799280356830015,0.1658353493775639,0.5350187567853503,-0.3730934622685261]"
2026-02-09,52,"[0.732998737442315,0.40757696110472563]","[0.19335177057661818,0.9761745054068826,-0.2323146136114771,-0.6426245990081298,-0.6354820505737473,-0.8194801742957321,0.04750453119008928,0.5274822469560917]","[0.12066931212405152,1.0235389136090276,-0.09265258296431297,-0.6885373359046663,-0.7114281720172092,-0.8024119846082202,0.07610640453459554,0.5755012032332266,-0.4178239061008096]"
2026-02-10,53,"[0.7789314114602037,0.3934588421780348]","[0.23623796930654045,0.9592299072691302,-0.23346956620885395,-0.6617932197121821,-0.770720966942808,-0.8141151401275009,0.015371798354522733,0.511991395200801]","[0.16546195180571846,1.000302626476896,-0.10310851334033772,-0.7061909596606027,-0.855333868899217,-0.7989987607405613,0.03954113444229506,0.5571146633195491,-0.38640648374212067]"
2026-02-11,56,"[0.5227121105258307,0.42373589174198056]","[0.14227111502013443,0.8019157472450706,-0.3680639297081425,-0.37025018919339003,-0.573011582543587,-0.6417939838277681,0.16163101764693155,0.4979456079362006]","[0.022916630521597314,0.8796515032900803,-0.20475033945914944,-0.43835830420873934,-0.7355569691508246,-0.6273441759879242,0.17694695365542257,0.5725492879326449,-0.5437168289450226]"
2026-02-18,58,"[0.42727174973932447,0.4721163324680399]","[0.10494653916012017,0.776292064895699,-0.2131889309334015,-0.2764436476215216,-0.41810373608706486,-0.6190696781520911,0.06991601709167378,0.25346677674965234]","[-0.07034138023284324,0.8997514640834269,-0.06627782579236868,-0.34721490230127827,-0.6556262642048359,-0.6140793574111205,0.0973873028678676,0.3701671370345722,-0.6588380400080763]"
2026-02-19,59,"[0.4271039334477024,0.48876771471298264]","[0.08239514893138783,0.801108454610307,-0.21958014736766374,-0.2645970666668191,-0.42930669058832654,-0.6310106191316487,0.05091758274307511,0.24134170306895103]","[-0.07456189086558895,0.9101634876763404,-0.06594567554137995,-0.3322305175109555,-0.6569464509699389,-0.6165717821562026,0.08854021466374808,0.3656407183776703,-0.7007440992446595]"
2026-02-24,61,"[0.43161907135924993,0.5172839448384786]","[0.10250903141373914,0.8319195113302013,-0.2200039675298203,-0.27767809351406925,-0.4109400627096841,-0.6292402985815172,0.01954960520321482,0.24480132773911492]","[-0.054141733806709884,0.9531274327275863,-0.06461474950677379,-0.34803766532791613,-0.6253931113017414,-0.617799613537876,0.040765269276328765,0.35502541890354034,-0.6851663466243735]"
2026-02-26,62,"[0.5083249632718043,0.47844963406876073]","[0.1918783606419237,0.7959457853966481,-0.24088361894818827,-0.32693224337598126,-0.4064667097489868,-0.6277359432121354,0.048242348270148366,0.24508286911749955]","[0.026112164093668545,0.9233584132323921,-0.07134396945757429,-0.40754211375911403,-0.6270364424503332,-0.6139823205539806,0.062484223188165836,0.3566549582302509,-0.7352161608300452]"
2026-03-03,65,"[0.4782041021525772,0.5163083534295246]","[0.1694664277847277,0.8289398691387474,-0.26403884229240226,-0.2630278677966054,-0.4636726366182734,-0.6332333749781008,0.19914755405219614,0.30218393332995025]","[0.019255983442054692,0.9387624131003818,-0.1208180032263368,-0.3236255721714429,-0.6512236481305498,-0.6195895005489671,0.2795382276372128,0.4183557017552137,-0.639967678984079]"
2026-03-04,66,"[0.5050819218250826,0.513406932340227]","[0.29882200433287043,0.7635875432391228,-0.16945829464134707,-0.2860203394412369,-0.3971409625300535,-0.6233511617559699,0.18048667870632504,0.35908327188901223]","[0.15327242302042587,0.8694022614163694,-0.014848028758814857,-0.3537352886580725,-0.5785588113178354,-0.6083998366385467,0.26120563911497685,0.4837636378294486,-0.6148406737648022]"
2026-03-05,67,"[0.5263756166083827,0.5142281741557195]","[0.31603544521850874,0.7638052152714087,-0.16770729376980217,-0.2853814769309226,-0.3893526491006277,-0.6322860408975522,0.2104537115808741,0.35008394986786084]","[0.16171268728819638,0.8711517768126694,-0.008314184985199898,-0.3547367156034192,-0.5711118040780946,-0.6190029350436592,0.29892517825778936,0.4753319379551185,-0.599015126883417]"
2026-03-09,68,"[0.5212750281703716,0.5307786335928035]","[0.30410785945210056,0.7831231609652971,-0.16289005299126483,-0.2810501217704122,-0.3915037213829202,-0.6447513641118277,0.19886985962896828,0.34250027482844236]","[0.15428731964361383,0.8831970757851982,-0.0013889425532799444,-0.347801669037063,-0.5713799377659716,-0.6253957085036734,0.29141727128574113,0.47758388003024205,-0.6252738827303671]"
2026-03-10,69,"[0.517577865215047,0.546195616883148]","[0.30624309612966566,0.7920340328329858,-0.15783866976335748,-0.27423084210561244,-0.3884805947622684,-0.671758997722046,0.21408905240464948,0.3399657824050603]","[0.1659062902614595,0.8932836929414449,0.009116171371710887,-0.3424385527983527,-0.571761405873273,-0.649852706002773,0.30986394631484065,0.477093415076466,-0.6234785818149173]"
2026-03-17,70,"[0.5120461714183165,0.5614116192236499]","[0.2919288186161205,0.8061769991702575,-0.15365209229428636,-0.29511694609280226,-0.39370323266796287,-0.6616236290509024,0.22777554662681807,0.3310233722730274]","[0.15484930500604846,0.9102344877339822,0.014362552432805447,-0.37022174174503114,-0.5807772938555391,-0.6406745848038139,0.32167700344047606,0.46926406584319597,-0.6216637036725332]"
2026-03-18,71,"[0.4345779074112369,0.5837912304031108]","[0.10686788942114504,0.8725472404406351,0.09181801021187115,-0.2310613624488149,-0.6211538595854867,-0.5693702017102893,0.24973801058155692,-0.0634469678290165]","[-0.08755916834270776,1.006111240496537,0.16966479266864296,-0.2622367353931526,-0.8292826746363232,-0.5462775633700487,0.3473448343349179,0.061458127414441274,-0.6022935736207227]"
2026-03-25,73,"[0.34478524219245926,0.580634151464847]","[-0.026538449720876104,0.8877161454062147,-0.009699663137780791,-0.20158909540582726,-0.5973113574510595,-0.5248458921342668,0.23780789308138642,-0.04898560469848068]","[-0.21320635295614115,1.009628075430057,0.060496042276335024,-0.2222441278217378,-0.818706943064915,-0.5016587461510713,0.33764143903215976,0.07222150711775537,-0.5564231419163315]"
2026-04-08,74,"[0.34949630702627565,0.5910525911106692]","[-0.01843887749303888,0.8926232862859893,0.009779207929489936,-0.2065892448312733,-0.5744120018033168,-0.5201270571992406,0.22582615362078168,-0.056126768896883186]","[-0.21449880308335542,1.016716865006602,0.08224194545107834,-0.22891556619072126,-0.7886584975137829,-0.5004950156254591,0.3239989274540729,0.06136368692701007,-0.5267906665182374]"
2026-04-16,75,"[0.36468320782296015,0.5950337357852037]","[0.011147519457446466,0.8936538186732138,0.08259879303900486,-0.21609063313269827,-0.6077393308811635,-0.5053521808630866,0.23539858643446432,-0.042642781465273526]","[-0.17916557380417053,1.0253084714296539,0.14225404278445344,-0.2438308365941954,-0.8190999689312473,-0.4869956975460829,0.3331806547306025,0.07605780076800642,-0.5414711974676865]"
2026-04-23,76,"[0.3622350877051274,0.6079055729451861]","[-0.017671560952873342,0.9145040237947056,0.07175087786925576,-0.21062362716050773,-0.5964317240797105,-0.4916790619947193,0.27192418668313206,-0.05091664055652269]","[-0.22409641793039614,1.0506509236711037,0.12527931596848438,-0.23515095592305085,-0.8004230750776087,-0.46688900710248693,0.3779868492034567,0.06113666520449181,-0.5452434077593753]"
2026-04-27,78,"[0.3629466103125386,0.6307416157149562]","[-0.08752119272794799,0.9694658761379887,0.10022152904321895,-0.22891926611975735,-0.5677320445332755,-0.45518474771657896,0.19744499955029682,-0.07364928000475576]","[-0.32027426148581156,1.115331332385127,0.14771469380475621,-0.2524438916174971,-0.7677585785658771,-0.426250473114863,0.30262304095103093,0.035922807446157994,-0.5468597936379801]"
2026-04-28,79,"[0.29077459475760276,0.6589521080674331]","[-0.09424755050582649,0.9687550334835907,0.11849270478582376,-0.2136839391312963,-0.5959018254435073,-0.4636403778143959,0.22205870267920233,-0.015355105296220377]","[-0.2688073149710801,1.078438012454472,0.16247306661034022,-0.23183174728909348,-0.7556183905166931,-0.4410903740321569,0.30742002556581305,0.08666123958109126,-0.44463365338943245]"
2026-04-29,81,"[0.250026596718976,0.6560443829945107]","[-0.22603027014964086,1.0151086436678154,-0.014206196001484797,-0.21896863822839854,-0.6074267039430445,-0.44522018999990387,0.2756145996919087,-0.036105249113594466]","[-0.4195443148859094,1.1454411158299682,0.0779723234574117,-0.23687462368633566,-0.7884489748281338,-0.43299689090821064,0.35164829412647136,0.07846096944855693,-0.5464946294194805]"
2026-04-30,86,"[0.2794330753843251,0.6906452202541031]","[-0.19357531891289814,1.0642526863869086,-0.08645749301584199,-0.2064749868842897,-0.5223554506019699,-0.46377649036706153,0.2717594927193619,-0.06868839513179147]","[-0.354072181778899,1.181565219561121,-0.0012894285398870864,-0.223786195795695,-0.6759525117213084,-0.4530156233214244,0.355575633535968,0.04609299595358083,-0.5535648369724134]"
2026-05-01,87,"[0.2999790193901711,0.6894481085376636]","[-0.17093128192418114,1.0678933862275095,-0.10013104153938074,-0.22246587360791759,-0.5477902673131101,-0.46469226478382464,0.2750190861646003,-0.0673855710558958]","[-0.32716924764874444,1.1841685803357478,-0.007461603168218829,-0.24201706571373158,-0.7070041392010906,-0.45311624250172405,0.3574104388393011,0.05126285305411247,-0.5397462944625201]"
2026-05-04,88,"[0.3085851320546488,0.6953510620863277]","[-0.19382086468097343,1.0910887957171609,-0.10445566989203085,-0.21405654668018056,-0.6212907309868007,-0.44977429518352224,0.28264863444679855,-0.06802171273876415]","[-0.3298838753174358,1.1941085851831714,-0.010421064144159454,-0.23323494439452375,-0.7627520057277579,-0.447169305689439,0.3616305653961157,0.05062700525901456,-0.5783763977000198]"
2026-05-05,91,"[0.2723592062512476,0.7228436075376482]","[-0.07022624683681453,0.9762907129646651,-0.033032091790886266,-0.18499302057252692,-0.4776838456976705,-0.2883005836128514,0.32219175467510514,0.04000740586135915]","[-0.1985533492597128,1.0616478448852258,0.048674770916614894,-0.2052785979011977,-0.5972949450588733,-0.29731616539486205,0.38904948602872147,0.17376758210534898,-0.5390339728423348]"
2026-05-06,93,"[0.2913201450568605,0.7302691123727343]","[-0.04082208477307093,0.9713307889129341,0.04402496833053546,-0.1774502453364973,-0.4856575991770715,-0.28208827894286065,0.39213417865594175,0.05157175876750338]","[-0.18441330204454895,1.0655181399337699,0.12910163647533313,-0.20045844643538124,-0.611450085608971,-0.2945049153042825,0.44028663759446657,0.18475896541574327,-0.5680510203812539]"
