market_id,event_key,pre_cutoff_trades,pass,side_mismatches,structural_review,missing_or_unmatched,v1,v2,status
549606,AVGO|2025-06-05,39,39,0,0,0,39,0,PASS
599915,BLSH|2025-09-17,34,34,0,0,0,34,0,PASS
598111,JBL|2025-09-25,175,175,0,0,0,175,0,PASS
619984,APLD|2025-10-09,79,79,0,0,0,79,0,PASS
613050,PEP|2025-10-09,246,246,0,0,0,246,0,PASS
619556,BLK|2025-10-14,212,212,0,0,0,212,0,PASS
620069,GBCI|2025-10-16,55,55,0,0,0,55,0,PASS
627451,AXP|2025-10-17,163,163,0,0,0,163,0,PASS
627454,CB|2025-10-21,77,77,0,0,0,77,0,PASS
627652,MAT|2025-10-21,50,50,0,0,0,50,0,PASS
637869,COUR|2025-10-23,120,120,0,0,0,120,0,PASS
637870,DOW|2025-10-23,56,56,0,0,0,56,0,PASS
637876,HAS|2025-10-23,42,42,0,0,0,42,0,PASS
643022,JBLU|2025-10-28,87,87,0,0,0,87,0,PASS
647505,BA|2025-10-29,199,199,0,0,0,199,0,PASS
647818,KHC|2025-10-29,52,52,0,0,0,52,0,PASS
643045,SBUX|2025-10-29,103,103,0,0,0,103,0,PASS
642124,TDOC|2025-10-29,83,83,0,0,0,83,0,PASS
647852,BUD|2025-10-30,63,63,0,0,0,63,0,PASS
648376,CL|2025-10-31,95,95,0,0,0,95,0,PASS
657445,AMD|2025-11-04,242,242,0,0,0,242,0,PASS
637875,HOG|2025-11-04,244,244,0,0,0,244,0,PASS
656808,FIG|2025-11-05,42,42,0,0,0,42,0,PASS
655443,MET|2025-11-05,42,42,0,0,0,42,0,PASS
656785,SONO|2025-11-05,86,86,0,0,0,86,0,PASS
657080,DBX|2025-11-06,93,93,0,0,0,93,0,PASS
657007,EXPE|2025-11-06,63,63,0,0,0,63,0,PASS
657079,MRNA|2025-11-06,78,78,0,0,0,78,0,PASS
657065,NWSA|2025-11-06,45,45,0,0,0,45,0,PASS
658498,SG|2025-11-06,25,25,0,0,0,25,0,PASS
658487,UAA|2025-11-06,48,48,0,0,0,48,0,PASS
668460,CRCL|2025-11-12,570,570,0,0,0,570,0,PASS
668512,GAMB|2025-11-13,181,181,0,0,0,181,0,PASS
675008,ACM|2025-11-18,262,262,0,0,0,262,0,PASS
675497,POWL|2025-11-18,110,110,0,0,0,110,0,PASS
675504,NVDA|2025-11-19,1104,1104,0,0,0,1104,0,PASS
675507,TGT|2025-11-19,288,288,0,0,0,288,0,PASS
675540,BBWI|2025-11-20,140,140,0,0,0,140,0,PASS
696263,UNFI|2025-12-02,192,192,0,0,0,192,0,PASS
697446,CRM|2025-12-03,171,171,0,0,0,171,0,PASS
697463,DG|2025-12-04,120,120,0,0,0,120,0,PASS
701955,CASY|2025-12-09,148,148,0,0,0,148,0,PASS
1125126,TFC|2026-01-21,86,86,0,0,0,86,0,PASS
1139951,MKC|2026-01-22,107,107,0,0,0,107,0,PASS
1175892,UNP|2026-01-27,274,274,0,0,0,274,0,PASS
1244920,IBM|2026-01-28,122,122,0,0,0,122,0,PASS
1244935,V|2026-01-29,155,155,0,0,0,155,0,PASS
1230454,CMG|2026-02-03,80,80,0,0,0,80,0,PASS
1254013,EFX|2026-02-04,124,124,0,0,0,124,0,PASS
1238099,QCOM|2026-02-04,151,151,0,0,0,151,0,PASS
1321183,KKR|2026-02-05,24,24,0,0,0,24,0,PASS
1268878,RDDT|2026-02-05,284,284,0,0,0,284,0,PASS
1321400,CHGG|2026-02-09,14,14,0,0,0,14,0,PASS
