market_id,event_key,ticker,safe_cutoff_utc,gamma_start_utc,structurally_unavailable,yes_rows,no_rows,yes_raw_points,no_raw_points,yes_chunks,no_chunks,yes_boundary_duplicates,no_boundary_duplicates,yes_conflicting_duplicates,no_conflicting_duplicates,yes_bad_rows,no_bad_rows,yes_last_age_min,no_last_age_min,yes_first_delay_min,yes_median_gap_min,yes_p95_gap_min,yes_max_gap_min,yes_unique_prices,yes_status,no_status
549606,AVGO|2025-06-05,AVGO,2025-06-04T20:00:00Z,2025-06-03T21:34:19.809928Z,False,1331,1331,1331,1331,1,1,0,0,0,0,0,0,0.9,0.9,14.783333333333333,1.0,1.0166666666666666,1.4333333333333333,33,OK,OK
599915,BLSH|2025-09-17,BLSH,2025-09-16T20:00:00Z,2025-09-16T05:10:45.26Z,False,874,874,874,874,1,1,0,0,0,0,0,0,0.9666666666666667,0.9666666666666667,15.333333333333334,1.0,1.2,1.4833333333333334,28,OK,OK
598111,JBL|2025-09-25,JBL,2025-09-24T20:00:00Z,2025-09-15T01:55:22.49Z,False,14019,14019,14019,14019,2,2,0,0,0,0,0,0,0.95,0.9333333333333333,14.816666666666666,1.0,1.1833333333333333,6.8,56,OK,OK
619984,APLD|2025-10-09,APLD,2025-10-08T20:00:00Z,2025-10-03T21:52:17.209Z,False,7073,7073,7073,7073,1,1,0,0,0,0,0,0,0.9166666666666666,0.9166666666666666,14.766666666666667,1.0,1.1,1.4,44,OK,OK
613050,PEP|2025-10-09,PEP,2025-10-08T20:00:00Z,2025-09-26T14:11:27.212Z,False,17613,17613,17613,17613,3,3,0,0,0,0,0,0,0.95,0.95,15.583333333333334,1.0,1.1,1.55,149,OK,OK
619556,BLK|2025-10-14,BLK,2025-10-13T20:00:00Z,2025-10-03T21:40:58.259Z,False,14284,14284,14284,14284,2,2,0,0,0,0,0,0,0.9333333333333333,0.9333333333333333,15.2,1.0,1.1166666666666667,1.6333333333333333,23,OK,OK
620069,GBCI|2025-10-16,GBCI,2025-10-15T20:00:00Z,2025-10-03T21:28:39.731Z,False,17176,17176,17176,17176,3,3,0,0,0,0,0,0,0.9166666666666666,0.9,15.4,1.0,1.1166666666666667,1.5666666666666667,30,OK,OK
627451,AXP|2025-10-17,AXP,2025-10-16T20:00:00Z,2025-10-08T15:45:40.045998Z,False,11759,11759,11759,11759,2,2,0,0,0,0,0,0,0.9333333333333333,0.9333333333333333,15.366666666666667,1.0,1.1333333333333333,1.7,72,OK,OK
627454,CB|2025-10-21,CB,2025-10-20T20:00:00Z,2025-10-08T16:00:00.399362Z,False,17505,17505,17505,17505,3,3,0,0,0,0,0,0,0.9333333333333333,0.9333333333333333,15.2,1.0,1.1333333333333333,1.55,32,OK,OK
627652,MAT|2025-10-21,MAT,2025-10-20T20:00:00Z,2025-10-08T17:18:20.267395Z,False,17427,17427,17427,17427,3,3,0,0,0,0,0,0,0.9333333333333333,0.9333333333333333,14.75,1.0,1.1333333333333333,1.5666666666666667,35,OK,OK
637869,COUR|2025-10-23,COUR,2025-10-22T20:00:00Z,2025-10-16T22:31:07.351381Z,False,8474,8474,8474,8474,2,2,0,0,0,0,0,0,0.9333333333333333,0.9166666666666666,14.983333333333333,1.0,1.1333333333333333,1.6833333333333333,62,OK,OK
