market_id,event_key,ticker,company_event_date,metric,contract_operator,contract_threshold_eps,official_eps_actual,validation_status,official_source_accession,reconstructed_outcome_label,polymarket_primary_label,matches_primary
599915,BLSH|2025-09-17,BLSH,2025-09-17,non_gaap_eps,>,-0.04,,AMBIGUOUS_NO_EXPLICIT_CONTRACT_METRIC,0001104659-25-090870,,1,
619984,APLD|2025-10-09,APLD,2025-10-09,non_gaap_eps,>,-0.16,-0.03,VALIDATED_OFFICIAL,0001144879-25-000068,1,1,true
619556,BLK|2025-10-14,BLK,2025-10-14,non_gaap_eps,>,11.76,11.55,VALIDATED_OFFICIAL,0001193125-25-237960,0,0,true
627451,AXP|2025-10-17,AXP,2025-10-17,gaap_eps,>,4.0,4.14,VALIDATED_OFFICIAL,0000004962-25-000218,1,1,true
627454,CB|2025-10-21,CB,2025-10-21,non_gaap_eps,>,5.78,7.49,VALIDATED_OFFICIAL,0001193125-25-245172,1,1,true
627652,MAT|2025-10-21,MAT,2025-10-21,non_gaap_eps,>,1.07,0.89,VALIDATED_OFFICIAL,0001628280-25-045690,0,0,true
637869,COUR|2025-10-23,COUR,2025-10-23,non_gaap_eps,>,0.08,0.1,VALIDATED_OFFICIAL,0001651562-25-000056,1,1,true
637870,DOW|2025-10-23,DOW,2025-10-23,non_gaap_eps,>,-0.3,-0.19,VALIDATED_OFFICIAL,0001751788-25-000153,1,1,true
637876,HAS|2025-10-23,HAS,2025-10-23,non_gaap_eps,>,1.63,1.68,VALIDATED_OFFICIAL,0000046080-25-000156,1,1,true
643022,JBLU|2025-10-28,JBLU,2025-10-28,non_gaap_eps,>,-0.42,-0.4,VALIDATED_OFFICIAL,0001158463-25-000107,1,1,true
647505,BA|2025-10-29,BA,2025-10-29,non_gaap_eps,>,-2.38,-7.47,VALIDATED_OFFICIAL,0001628280-25-046915,0,0,true
643045,SBUX|2025-10-29,SBUX,2025-10-29,gaap_eps,>,0.51,0.12,VALIDATED_OFFICIAL,0000829224-25-000074,0,0,true
642124,TDOC|2025-10-29,TDOC,2025-10-29,gaap_eps,>,-0.26,-0.28,VALIDATED_OFFICIAL,0001477449-25-000117,0,0,true
647852,BUD|2025-10-30,BUD,2025-10-30,non_gaap_eps,>,0.95,0.99,VALIDATED_OFFICIAL,0001193125-25-257622,1,1,true
648376,CL|2025-10-31,CL,2025-10-31,non_gaap_eps,>,0.89,0.91,VALIDATED_OFFICIAL,0000021665-25-000052,1,1,true
657445,AMD|2025-11-04,AMD,2025-11-04,non_gaap_eps,>,1.17,1.2,VALIDATED_OFFICIAL,0000002488-25-000163,1,1,true
656808,FIG|2025-11-05,FIG,2025-11-05,gaap_eps,>,-2.08,-2.72,VALIDATED_OFFICIAL,0001628280-25-049555,0,0,true
655443,MET|2025-11-05,MET,2025-11-05,non_gaap_eps,>,2.32,2.37,VALIDATED_OFFICIAL,0001099219-25-000227,1,1,true
657080,DBX|2025-11-06,DBX,2025-11-06,non_gaap_eps,>,0.65,0.74,VALIDATED_OFFICIAL,0001467623-25-000127,1,1,true
657079,MRNA|2025-11-06,MRNA,2025-11-06,gaap_eps,>,-2.18,-0.51,VALIDATED_OFFICIAL,0001682852-25-000073,1,1,true
658498,SG|2025-11-06,SG,2025-11-06,gaap_eps,>,-0.17,-0.31,VALIDATED_OFFICIAL,0001628280-25-050204,0,0,true
668460,CRCL|2025-11-12,CRCL,2025-11-12,gaap_eps,>,0.17,0.64,VALIDATED_OFFICIAL,0001876042-25-000045,1,1,true
668512,GAMB|2025-11-13,GAMB,2025-11-13,non_gaap_eps,>,0.16,1.11,VALIDATED_OFFICIAL,0001839799-25-000075,1,1,true
675504,NVDA|2025-11-19,NVDA,2025-11-19,non_gaap_eps,>,1.25,1.3,VALIDATED_OFFICIAL,0001045810-25-000228,1,1,true
