index,market_id,event_key,ticker,company_event_date,metric,contract_operator,contract_threshold_eps,polymarket_resolved_outcome,polymarket_outcome_label,official_eps_actual,official_eps_status,reconstructed_outcome_label,reconstructed_matches_polymarket,candidate_score,candidate_margin,candidate_occurrences,candidate_source_types,target_quarter,target_fiscal_year,segment_basis,value_basis,evidence_phrase,evidence_context,official_document_url,official_document_sha256,accession_number,suspicious_flags,candidate_count_total,top_candidates_json,validation_method,official_eps_validated
0,599915,BLSH|2025-09-17,BLSH,2025-09-17,non_gaap_eps,>,-0.04,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
1,619984,APLD|2025-10-09,APLD,2025-10-09,non_gaap_eps,>,-0.16,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
2,619556,BLK|2025-10-14,BLK,2025-10-14,non_gaap_eps,>,11.76,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
3,627451,AXP|2025-10-17,AXP,2025-10-17,gaap_eps,>,4.0,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
4,627454,CB|2025-10-21,CB,2025-10-21,non_gaap_eps,>,5.78,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
5,627652,MAT|2025-10-21,MAT,2025-10-21,non_gaap_eps,>,1.07,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
6,637869,COUR|2025-10-23,COUR,2025-10-23,non_gaap_eps,>,0.08,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
7,637870,DOW|2025-10-23,DOW,2025-10-23,non_gaap_eps,>,-0.3,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
8,637876,HAS|2025-10-23,HAS,2025-10-23,non_gaap_eps,>,1.63,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
9,643022,JBLU|2025-10-28,JBLU,2025-10-28,non_gaap_eps,>,-0.42,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
10,647505,BA|2025-10-29,BA,2025-10-29,non_gaap_eps,>,-2.38,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
11,643045,SBUX|2025-10-29,SBUX,2025-10-29,gaap_eps,>,0.51,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
12,642124,TDOC|2025-10-29,TDOC,2025-10-29,gaap_eps,>,-0.26,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
13,647852,BUD|2025-10-30,BUD,2025-10-30,non_gaap_eps,>,0.95,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
14,648376,CL|2025-10-31,CL,2025-10-31,non_gaap_eps,>,0.89,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
15,657445,AMD|2025-11-04,AMD,2025-11-04,non_gaap_eps,>,1.17,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
16,656808,FIG|2025-11-05,FIG,2025-11-05,gaap_eps,>,-2.08,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
17,655443,MET|2025-11-05,MET,2025-11-05,non_gaap_eps,>,2.32,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
18,657080,DBX|2025-11-06,DBX,2025-11-06,non_gaap_eps,>,0.65,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
19,657079,MRNA|2025-11-06,MRNA,2025-11-06,gaap_eps,>,-2.18,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
20,658498,SG|2025-11-06,SG,2025-11-06,gaap_eps,>,-0.17,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
21,668460,CRCL|2025-11-12,CRCL,2025-11-12,gaap_eps,>,0.17,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
22,668512,GAMB|2025-11-13,GAMB,2025-11-13,non_gaap_eps,>,0.16,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
23,675504,NVDA|2025-11-19,NVDA,2025-11-19,non_gaap_eps,>,1.25,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
24,697446,CRM|2025-12-03,CRM,2025-12-03,non_gaap_eps,>,2.86,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
25,1125126,TFC|2026-01-21,TFC,2026-01-21,non_gaap_eps,>,1.1,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
26,1139951,MKC|2026-01-22,MKC,2026-01-22,non_gaap_eps,>,0.88,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
27,1244920,IBM|2026-01-28,IBM,2026-01-28,non_gaap_eps,>,4.29,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
28,1244935,V|2026-01-29,V,2026-01-29,non_gaap_eps,>,3.14,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
29,1238099,QCOM|2026-02-04,QCOM,2026-02-04,non_gaap_eps,>,3.39,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
30,1321183,KKR|2026-02-05,KKR,2026-02-05,non_gaap_eps,>,1.14,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
31,1321400,CHGG|2026-02-09,CHGG,2026-02-09,non_gaap_eps,>,-0.1,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
32,1287905,CSCO|2026-02-11,CSCO,2026-02-11,non_gaap_eps,>,1.02,Yes,1,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
33,1293041,PAG|2026-02-11,PAG,2026-02-11,gaap_eps,>,3.02,No,0,,pending_manual_review,,False,,,0,,,,,,,,,,,,0,[],pending,False
