feature_a,feature_b,n_overlap,spearman_rho,pearson_r,abs_spearman,near_duplicate_flag,high_overlap_flag
delta_6h,velocity_6h_per_hour,115,1.00000000,1.00000000,1.00000000,true,true
log_total_notional,total_collateral_notional,115,1.00000000,0.58666637,1.00000000,true,true
log_trade_count,trade_count,115,1.00000000,0.76366372,1.00000000,true,true
log_wallet_count,wallet_count,115,1.00000000,0.75775851,1.00000000,true,true
log_trade_count,log_wallet_count,115,0.99107182,0.99015442,0.99107182,true,true
log_trade_count,wallet_count,115,0.99107182,0.73915760,0.99107182,true,true
log_wallet_count,trade_count,115,0.99107182,0.76664308,0.99107182,true,true
trade_count,wallet_count,115,0.99107182,0.98437843,0.99107182,true,true
hourly_realized_scale_24h,max_hourly_jump_24h,115,0.98073938,0.97839791,0.98073938,true,true
hourly_realized_scale_24h,path_roughness_24h,115,0.97402815,0.94812150,0.97402815,true,true
top_wallet_notional_share,wallet_hhi_notional,115,0.96931271,0.96764061,0.96931271,true,true
cusum_proxy_24h,hourly_realized_scale_24h,115,0.96136418,0.96312226,0.96136418,true,true
cusum_proxy_24h,max_hourly_jump_24h,115,0.95565267,0.96232274,0.95565267,true,true
cusum_proxy_24h,path_roughness_24h,115,0.92988925,0.89454606,0.92988925,true,true
max_hourly_jump_24h,path_roughness_24h,115,0.92707275,0.89135543,0.92707275,true,true
delta_6h,vol_scaled_delta_6h,113,0.88166140,0.64809937,0.88166140,false,true
velocity_6h_per_hour,vol_scaled_delta_6h,113,0.88166140,0.64809937,0.88166140,false,true
log_total_notional,log_trade_count,115,0.86893341,0.89589783,0.86893341,false,true
log_total_notional,trade_count,115,0.86893341,0.70524273,0.86893341,false,true
log_trade_count,total_collateral_notional,115,0.86893341,0.51365762,0.86893341,false,true
total_collateral_notional,trade_count,115,0.86893341,0.82597971,0.86893341,false,true
log_total_notional,log_wallet_count,115,0.85473921,0.86979171,0.85473921,false,true
log_total_notional,wallet_count,115,0.85473921,0.66471169,0.85473921,false,true
log_wallet_count,total_collateral_notional,115,0.85473921,0.49971049,0.85473921,false,true
total_collateral_notional,wallet_count,115,0.85473921,0.75047047,0.85473921,false,true
sign_consistency_1_6_24h,vol_scaled_delta_6h,111,0.81417334,0.76663626,0.81417334,false,true
log_trade_count,max_run_share,115,-0.79895873,-0.74767348,0.79895873,false,true
max_run_share,trade_count,115,-0.79895873,-0.43282952,0.79895873,false,true
delta_6h,sign_consistency_1_6_24h,113,0.77934704,0.55057552,0.77934704,false,true
sign_consistency_1_6_24h,velocity_6h_per_hour,113,0.77934704,0.55057552,0.77934704,false,true
log_wallet_count,max_run_share,115,-0.77547635,-0.71111203,0.77547635,false,true
max_run_share,wallet_count,115,-0.77547635,-0.40326932,0.77547635,false,true
acceleration_proxy_1h_vs_6h,delta_1h,115,0.76446189,0.97735011,0.76446189,false,true
same_side_transition_share,signed_count_imbalance,115,0.75833235,0.62142907,0.75833235,false,true
log_total_notional,max_run_share,115,-0.72390542,-0.71608210,0.72390542,false,false
max_run_share,total_collateral_notional,115,-0.72390542,-0.26315645,0.72390542,false,false
delta_24h,sign_consistency_1_6_24h,113,0.69562852,0.45823806,0.69562852,false,false
delta_1h,sign_consistency_1_6_24h,113,0.67652176,0.37552535,0.67652176,false,false
signed_count_imbalance,signed_notional_imbalance,115,0.66918555,0.57597944,0.66918555,false,false
same_side_transition_share,signed_notional_imbalance,115,0.63958333,0.60715136,0.63958333,false,false
log_wallet_count,wallet_hhi_notional,115,-0.60626186,-0.56838882,0.60626186,false,false
wallet_count,wallet_hhi_notional,115,-0.60626186,-0.31385058,0.60626186,false,false
log_trade_count,wallet_hhi_notional,115,-0.58713935,-0.55013182,0.58713935,false,false
trade_count,wallet_hhi_notional,115,-0.58713935,-0.27903070,0.58713935,false,false
log_wallet_count,top_wallet_notional_share,115,-0.52734652,-0.55925146,0.52734652,false,false
top_wallet_notional_share,wallet_count,115,-0.52734652,-0.36439138,0.52734652,false,false
delta_24h,delta_6h,113,0.51335742,0.71258170,0.51335742,false,false
delta_24h,velocity_6h_per_hour,113,0.51335742,0.71258170,0.51335742,false,false
log_trade_count,top_wallet_notional_share,115,-0.51319899,-0.54161232,0.51319899,false,false
top_wallet_notional_share,trade_count,115,-0.51319899,-0.33481093,0.51319899,false,false
delta_24h,vol_scaled_delta_6h,111,0.50948308,0.40208897,0.50948308,false,false
large_trade_share_top_decile,log_total_notional,115,0.49961335,0.49480861,0.49961335,false,false
large_trade_share_top_decile,total_collateral_notional,115,0.49961335,0.35636568,0.49961335,false,false
