route_id,source_path,market_key,question_or_title,keyword_hits,condition_id_sample,token_id_sample
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,2938,NBA: Will the 76ers beat the Hornets by more than 6.5 points in their December 6 matchup?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3008,How many new US residential sales will the U.S. Census Bureau report for June?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3018,"Will AstraZeneca's COVID-19 vaccine receive FDA approval or Emergency Use Authorization (EUA) by May 1, 2021?",fda;pdufa,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3058,Who will win UFC 263: Figueiredo vs. Moreno?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3137,"Will MOEX close above 2,500 by April 15, 2022?",fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3176,Will the FDA approve any COVID-19 vaccination for children under 12 by November 1?,fda;pdufa,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3209,"Will the US have fewer than 35,000 new COVID-19 cases on any day before April 7, 2021?",fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3358,"Will the City of Ottawa cease its state of emergency by March 2, 2022?",fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3481,NFL: Will the Buccaneers beat the Giants by more than 10.5 points in their November 22 matchup?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3518,Will the FDA approve any COVID-19 vaccination for children under 12 by October 15?,fda;pdufa,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3599,Will Miso Robotics expand its restaurant partnerships in 2021?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3661,Will Chelsea or Porto advance to the semi-final of the Champions League?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3720,Will the FDA give emergency use authorization or otherwise approve Paxlovid before 2022?,fda;pdufa,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3800,Will Ole Gunnar Solskjaer be sacked (or resign) as Manchester United F.C. coach by November 23rd?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3864,Will New World be a Top 5 game on Steam two weeks after release?,fda,,
FDA_BIOTECH_EQUITY_OR_PM,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,4006,NBA: Will the Clippers beat the Kings by more than 1.5 points in their December 4 matchup?,fda,,
