route_id,source_path,market_key,question_or_title,keyword_hits,condition_id_sample,token_id_sample
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,2921,Will annual inflation in the European Union be 5.9% or more in February?,inflation,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,2924,Who will win Suns v. Clippers: Western Conference Finals Game 6?,fed,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,2945,Will annual inflation in the European Union be 8.0% or more in April?,inflation,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,2982,Will more than 3.30 million people travel via New York City subway on any day before November 19?,fed,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,2992,Will inflation be 0.4% or more from July to August?,inflation,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,2994,Will the Liberal Party win a majority in the 2021 Canadian federal election?,fed,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3014,NBA: Will the Jazz beat the Trail Blazers by more than 7.5 points in their November 29th matchup?,fed,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3032,"Will the U.S. 7-day COVID-19 Case average be above 75,000 on March 1, 2022?",fed,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3048,"NHL: Who will win Oilers vs. Flames, scheduled for May 24, 9:30 PM ET?",oil,,
MACRO_PM_OR_ETF_EVENT_BACKTEST,registry/w4b_polymarket_recensus_venue_events_v1.csv.gz,3066,Will U.S. inflation be more than 1.0% from February to March 2022?,inflation,,
