yes_token,market_id,t,p
21742633143463906290569050155826241533067272736897614950488156847949938836455,253591,1729814403,0.641
21742633143463906290569050155826241533067272736897614950488156847949938836455,253591,1729900803,0.6385
21742633143463906290569050155826241533067272736897614950488156847949938836455,253591,1729987203,0.6455
69236923620077691027083946871148646972011131466059644796654161903044970987404,253597,1729814403,0.3605
69236923620077691027083946871148646972011131466059644796654161903044970987404,253597,1729900803,0.3605
69236923620077691027083946871148646972011131466059644796654161903044970987404,253597,1729987203,0.353
45714870634090908403813747458214625542376052548606303175331201110938821302832,511754,1736294403,0.9845
45714870634090908403813747458214625542376052548606303175331201110938821302832,511754,1736380803,0.9815
45714870634090908403813747458214625542376052548606303175331201110938821302832,511754,1736467204,0.9845
41257670817876317355997233596113195194194608207987371129645019730826567930842,507892,1743811205,0.0005
41257670817876317355997233596113195194194608207987371129645019730826567930842,507892,1743897605,0.0005
41257670817876317355997233596113195194194608207987371129645019730826567930842,507892,1743984006,0.0005
25714007960293389110960044475283546872601238755063051359394740854408462452120,2169995,1779494414,0.075
25714007960293389110960044475283546872601238755063051359394740854408462452120,2169995,1779580809,0.125
25714007960293389110960044475283546872601238755063051359394740854408462452120,2169995,1779667209,0.115
53033438245279373213426094525005043480366615306824323472317521871682514379120,512340,1745020806,0.0015
53033438245279373213426094525005043480366615306824323472317521871682514379120,512340,1745107206,0.0015
53033438245279373213426094525005043480366615306824323472317521871682514379120,512340,1745193606,0.0015
2916184120206223749839849644877707470354946028257066951797428049170871002238,1640919,1774656054,0.585
2916184120206223749839849644877707470354946028257066951797428049170871002238,1640919,1775347209,0.915
2916184120206223749839849644877707470354946028257066951797428049170871002238,1640919,1775692834,0.9995
103864131794756285503734468197278890131080300305704085735435172616220564121629,546814,1750982407,0.167
103864131794756285503734468197278890131080300305704085735435172616220564121629,546814,1751068807,0.1335
103864131794756285503734468197278890131080300305704085735435172616220564121629,546814,1751155208,0.032
87935798830831555521299232238121934560977823768906296045917813721531790174443,253642,1729814403,0.0005
87935798830831555521299232238121934560977823768906296045917813721531790174443,253642,1729900803,0.0005
87935798830831555521299232238121934560977823768906296045917813721531790174443,253642,1729987203,0.0005
11862165566757345985240476164489718219056735011698825377388402888080786399275,601697,1768521622,0.0035
11862165566757345985240476164489718219056735011698825377388402888080786399275,601697,1768608019,0.0035
11862165566757345985240476164489718219056735011698825377388402888080786399275,601697,1768694427,0.0035
16419649354067298412736919830777830730026677464626899811394461690794060330642,601700,1768521615,0.0015
16419649354067298412736919830777830730026677464626899811394461690794060330642,601700,1768608012,0.0015
16419649354067298412736919830777830730026677464626899811394461690794060330642,601700,1768694414,0.0015
50049642142024617231697970377792489304039200104142714216386619263735691638204,2036399,1776816017,0.48
50049642142024617231697970377792489304039200104142714216386619263735691638204,2036399,1776902422,0.085
50049642142024617231697970377792489304039200104142714216386619263735691638204,2036399,1776988834,0.0015
5904694069529905826680225678119990013628860098514322777023141327768111791078,2270330,1780704005,0.085
5904694069529905826680225678119990013628860098514322777023141327768111791078,2270330,1780790416,0.075
5904694069529905826680225678119990013628860098514322777023141327768111791078,2270330,1780876806,0.085
18812649149814341758733697580460697418474693998558159483117100240528657629879,558938,1783468804,0.185
18812649149814341758733697580460697418474693998558159483117100240528657629879,558938,1783555208,0.2005
18812649149814341758733697580460697418474693998558159483117100240528657629879,558938,1783641605,0.1785
82855088893985825781350466813737280564000275725006328179621744619327480699369,1706788,1775692831,0.9945
54073086346734626735797775941991553522163760164405051969883391401961188364109,654415,1772755231,0.0025
54073086346734626735797775941991553522163760164405051969883391401961188364109,654415,1772841636,0.0025
54073086346734626735797775941991553522163760164405051969883391401961188364109,654415,1772928030,0.0025
21271000291843361249209065706097167029083067325856089903026951915683588703117,253727,1730332803,0.6135
21271000291843361249209065706097167029083067325856089903026951915683588703117,253727,1730419203,0.6275
21271000291843361249209065706097167029083067325856089903026951915683588703117,253727,1730505603,0.6845
74018646712472971445258547247048869505144598783748525202442089895996249694683,570360,1764288016,0.0105
74018646712472971445258547247048869505144598783748525202442089895996249694683,570360,1764374422,0.0115
74018646712472971445258547247048869505144598783748525202442089895996249694683,570360,1764460817,0.0115
30499731947464516579580181356221397335865912996104577000510883912653418218808,558968,1782345612,0.0025
30499731947464516579580181356221397335865912996104577000510883912653418218808,558968,1782432007,0.0025
30499731947464516579580181356221397335865912996104577000510883912653418218808,558968,1782518407,0.0015
52607315900507156846622820770453728082833251091510131025984187712529448877245,680392,1769126425,0.085
52607315900507156846622820770453728082833251091510131025984187712529448877245,680392,1769212813,0.085
52607315900507156846622820770453728082833251091510131025984187712529448877245,680392,1769299227,0.795
8615283304849028269259042680787343769500144068672958710059180099366119214927,507894,1742515205,0.0005
8615283304849028269259042680787343769500144068672958710059180099366119214927,507894,1742601606,0.0005
8615283304849028269259042680787343769500144068672958710059180099366119214927,507894,1742688006,0.0005
97508453625137094121006941885029334584603955750917059456402541591996493525667,253609,1729814403,0.0005
97508453625137094121006941885029334584603955750917059456402541591996493525667,253609,1729900803,0.0005
97508453625137094121006941885029334584603955750917059456402541591996493525667,253609,1729987203,0.0005
69910730841487615802736046038473620030754616421912831175284551372639933569112,558963,1782604803,0.0145
69910730841487615802736046038473620030754616421912831175284551372639933569112,558963,1782691203,0.0135
69910730841487615802736046038473620030754616421912831175284551372639933569112,558963,1782777604,0.0135
4394372887385518214471608448209527405727552777602031099972143344338178308080,558934,1783468806,0.1855
4394372887385518214471608448209527405727552777602031099972143344338178308080,558934,1783555213,0.1875
4394372887385518214471608448209527405727552777602031099972143344338178308080,558934,1783641608,0.1745
33945469250963963541781051637999677727672635213493648594066577298999471399137,538932,1761264016,0.9265
33945469250963963541781051637999677727672635213493648594066577298999471399137,538932,1761350415,0.9355
33945469250963963541781051637999677727672635213493648594066577298999471399137,538932,1761436818,0.9445
94603648636330087039501304492699481091005420017442244191603206509188088089447,558943,1782345618,0.0345
94603648636330087039501304492699481091005420017442244191603206509188088089447,558943,1782432009,0.0295
94603648636330087039501304492699481091005420017442244191603206509188088089447,558943,1782518412,0.0275
75551890681049796405776295654438099776333571510662809052054780589218524237663,253595,1729814403,0.0005
75551890681049796405776295654438099776333571510662809052054780589218524237663,253595,1729900803,0.0005
75551890681049796405776295654438099776333571510662809052054780589218524237663,253595,1729987203,0.0005
79574854225464477884287524461980167393583915155475895540399834902850789709576,1795527,1777248011,0.0405
79574854225464477884287524461980167393583915155475895540399834902850789709576,1795527,1777334412,0.0415
79574854225464477884287524461980167393583915155475895540399834902850789709576,1795527,1777420810,0.0365
66714239224313823221640294891961335457341276313024833480429172445133070011668,503301,1733270403,0.0015
66714239224313823221640294891961335457341276313024833480429172445133070011668,503301,1733356803,0.0015
66714239224313823221640294891961335457341276313024833480429172445133070011668,503301,1733443203,0.0015
22587775301869146748237913050505932485648958481571808324285560650057390882036,558945,1782259210,0.0125
22587775301869146748237913050505932485648958481571808324285560650057390882036,558945,1782345612,0.0115
22587775301869146748237913050505932485648958481571808324285560650057390882036,558945,1782432009,0.0125
60447443643099453130956385288904175887233107411078568881602330835010340506057,558951,1782777610,0.0215
60447443643099453130956385288904175887233107411078568881602330835010340506057,558951,1782864009,0.0195
60447443643099453130956385288904175887233107411078568881602330835010340506057,558951,1782950413,0.0225
37607087749772082751516356212488395841221931637322106913544914381521802317192,504494,1729900803,0.0015
37607087749772082751516356212488395841221931637322106913544914381521802317192,504494,1729987203,0.002
37607087749772082751516356212488395841221931637322106913544914381521802317192,504494,1730073603,0.0015
111653286751222233434552489231342053782305860121514128195211070982702807638967,570363,1764288008,0.0035
111653286751222233434552489231342053782305860121514128195211070982702807638967,570363,1764374409,0.0035
111653286751222233434552489231342053782305860121514128195211070982702807638967,570363,1764460808,0.0035
17148991929546304218678959738430213065524880357303658607403556776126482126118,507286,1743724805,0.026
17148991929546304218678959738430213065524880357303658607403556776126482126118,507286,1743811205,0.0255
17148991929546304218678959738430213065524880357303658607403556776126482126118,507286,1743897605,0.0255
62131913648515148266463816694306031394539656598501514114816028349608560215534,558974,1782777604,0.0085
62131913648515148266463816694306031394539656598501514114816028349608560215534,558974,1782864003,0.0085
62131913648515148266463816694306031394539656598501514114816028349608560215534,558974,1782950404,0.0075
108233603819467706476318984012158651931658302669301887462181073562758483842092,558936,1783036808,0.3425
108233603819467706476318984012158651931658302669301887462181073562758483842092,558936,1783123207,0.356
108233603819467706476318984012158651931658302669301887462181073562758483842092,558936,1783209607,0.3605
39317885422026394259056328144566743331998444273202427934141325790266108570112,1180303,1771545629,0.0525
39317885422026394259056328144566743331998444273202427934141325790266108570112,1180303,1771632022,0.04
39317885422026394259056328144566743331998444273202427934141325790266108570112,1180303,1771718422,0.0375
24107569157155697291965151336634632343913784446472286927398284356905040243642,507896,1741564804,0.0015
24107569157155697291965151336634632343913784446472286927398284356905040243642,507896,1741651205,0.0015
24107569157155697291965151336634632343913784446472286927398284356905040243642,507896,1741737605,0.0015
76259649122453061705337281599154338919732329508586858056504569811939186829612,507895,1740614405,0.0015
76259649122453061705337281599154338919732329508586858056504569811939186829612,507895,1740700805,0.0015
