channel,family,query,returned_events,returned_tags
FULL_CLOSED_EVENT_KEYSET_CRAWL,*,*,10000,0
FROZEN_PUBLIC_SEARCH,ANTITRUST_ENFORCEMENT_SINGLE_NAME,DOJ antitrust,19,1
FROZEN_PUBLIC_SEARCH,ANTITRUST_ENFORCEMENT_SINGLE_NAME,FTC antitrust,2,2
FROZEN_PUBLIC_SEARCH,ANTITRUST_ENFORCEMENT_SINGLE_NAME,antitrust lawsuit,8,1
FROZEN_PUBLIC_SEARCH,ANTITRUST_ENFORCEMENT_SINGLE_NAME,antitrust trial,8,1
FROZEN_PUBLIC_SEARCH,ANTITRUST_ENFORCEMENT_SINGLE_NAME,competition regulator,1,0
FROZEN_PUBLIC_SEARCH,ANTITRUST_ENFORCEMENT_SINGLE_NAME,monopoly case,5,1
FROZEN_TITLE_SEARCH_KEYSET,ANTITRUST_ENFORCEMENT_SINGLE_NAME,DOJ antitrust,0,0
FROZEN_TITLE_SEARCH_KEYSET,ANTITRUST_ENFORCEMENT_SINGLE_NAME,FTC antitrust,0,0
FROZEN_TITLE_SEARCH_KEYSET,ANTITRUST_ENFORCEMENT_SINGLE_NAME,antitrust lawsuit,0,0
FROZEN_TITLE_SEARCH_KEYSET,ANTITRUST_ENFORCEMENT_SINGLE_NAME,antitrust trial,0,0
FROZEN_TITLE_SEARCH_KEYSET,ANTITRUST_ENFORCEMENT_SINGLE_NAME,competition regulator,0,0
FROZEN_TITLE_SEARCH_KEYSET,ANTITRUST_ENFORCEMENT_SINGLE_NAME,monopoly case,0,0
PUBLIC_SEARCH_TAG_TO_RELATED_TAG_EVENT_EXPANSION,ANTITRUST_ENFORCEMENT_SINGLE_NAME,tag:antitrust,2,0
PUBLIC_SEARCH_TAG_TO_RELATED_TAG_EVENT_EXPANSION,ANTITRUST_ENFORCEMENT_SINGLE_NAME,tag:court-cases,45,0
PUBLIC_SEARCH_TAG_TO_RELATED_TAG_EVENT_EXPANSION,ANTITRUST_ENFORCEMENT_SINGLE_NAME,tag:ftc,3,0
PUBLIC_SEARCH_TAG_TO_RELATED_TAG_EVENT_EXPANSION,ANTITRUST_ENFORCEMENT_SINGLE_NAME,tag:meta-vs-ftc,5,0
FROZEN_PUBLIC_SEARCH,CORPORATE_LITIGATION_BINARY,corporate lawsuit,19,1
FROZEN_PUBLIC_SEARCH,CORPORATE_LITIGATION_BINARY,corporate verdict,19,1
FROZEN_PUBLIC_SEARCH,CORPORATE_LITIGATION_BINARY,court injunction,265,2
FROZEN_PUBLIC_SEARCH,CORPORATE_LITIGATION_BINARY,court ruling company,265,2
FROZEN_PUBLIC_SEARCH,CORPORATE_LITIGATION_BINARY,lawsuit settlement,10,0
FROZEN_TITLE_SEARCH_KEYSET,CORPORATE_LITIGATION_BINARY,corporate lawsuit,0,0
FROZEN_TITLE_SEARCH_KEYSET,CORPORATE_LITIGATION_BINARY,corporate verdict,0,0
FROZEN_TITLE_SEARCH_KEYSET,CORPORATE_LITIGATION_BINARY,court injunction,0,0
FROZEN_TITLE_SEARCH_KEYSET,CORPORATE_LITIGATION_BINARY,court ruling company,0,0
FROZEN_TITLE_SEARCH_KEYSET,CORPORATE_LITIGATION_BINARY,lawsuit settlement,0,0
