family,candidate_events,events_with_lead_hours,lead_hours_median,lead_ge_24h_count,lead_ge_24h_rate_unvalidated,events_with_volume,volume_ge_1k,volume_ge_10k,volume_ge_100k,manual_validation_required,feasibility_gate_status
EARNINGS_EPS,1789,1772,297.077569,1731,0.9768623024830699,1725,1551,837,184,true,NOT_SCORED
FDA_ADVISORY_COMMITTEE,100,100,552.31121,98,0.98,100,91,54,31,true,NOT_SCORED
FDA_FINAL_PDUFA_DECISION,230,230,173.421981,229,0.9956521739130435,224,208,144,50,true,NOT_SCORED
MA_PRE_ANNOUNCEMENT_OR_RUMOR,56,55,1152.0,54,0.9818181818181818,54,50,39,17,true,NOT_SCORED
MA_PENDING_COMPLETION,287,281,870.43512,266,0.9466192170818505,280,254,235,161,true,NOT_SCORED
MA_REGULATORY_CLEARANCE,275,275,174.136259,270,0.9818181818181818,264,251,202,82,true,NOT_SCORED
ANTITRUST_ENFORCEMENT_SINGLE_NAME,90,89,1366.029083,86,0.9662921348314607,88,82,69,22,true,NOT_SCORED
FOMC_DECISION,184,174,1683.405371,172,0.9885057471264368,179,179,170,122,true,NOT_SCORED
MACRO_STATISTICAL_RELEASE,1056,1052,340.922492,976,0.9277566539923955,972,840,651,318,true,NOT_SCORED
CORPORATE_LITIGATION_BINARY,297,290,385.1164,283,0.9758620689655172,294,270,238,130,true,NOT_SCORED
