track,stage,unit,resolved_family,n,stage_total_n,share_pct,claim_status
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,ANTITRUST_ENFORCEMENT_SINGLE_NAME,2,668,0.299401,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,CORPORATE_LITIGATION_BINARY,28,668,4.191617,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,CPI_INFLATION_RELEASE,347,668,51.946108,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,FDA_FINAL_PDUFA_DECISION,12,668,1.796407,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,FOMC_DECISION,29,668,4.341317,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,GDP_RELEASE,72,668,10.778443,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,MA_PENDING_COMPLETION,1,668,0.149701,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,MA_PRE_ANNOUNCEMENT_OR_RUMOR,6,668,0.898204,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,PAYROLLS_JOBS_RELEASE,5,668,0.748503,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,PCE_RELEASE,23,668,3.443114,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,RETAIL_SALES_RELEASE,14,668,2.095808,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,UNEMPLOYMENT_RELEASE,129,668,19.311377,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,ANTITRUST_ENFORCEMENT_SINGLE_NAME,2,391,0.511509,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,CORPORATE_LITIGATION_BINARY,28,391,7.161125,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,CPI_INFLATION_RELEASE,113,391,28.900256,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,FDA_FINAL_PDUFA_DECISION,12,391,3.069054,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,FOMC_DECISION,24,391,6.138107,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,GDP_RELEASE,36,391,9.207161,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,MA_PENDING_COMPLETION,1,391,0.255754,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,MA_PRE_ANNOUNCEMENT_OR_RUMOR,6,391,1.534527,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,PAYROLLS_JOBS_RELEASE,4,391,1.023018,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,PCE_RELEASE,23,391,5.882353,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,RETAIL_SALES_RELEASE,13,391,3.324808,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,UNEMPLOYMENT_RELEASE,129,391,32.992327,
KALSHI_HISTORY,KH0_CANONICAL_AUDITED,kalshi_canonical_event,ANTITRUST_ENFORCEMENT_SINGLE_NAME,2,391,0.511509,
