track,stage,unit,n,parent_stage,parent_n,retention_pct,unit_transition_or_note,bound,claim_status
KALSHI_SEMANTIC,K0_RETRIEVED_CANDIDATE_EVENTS,venue_event_row,1690,,,,,,
KALSHI_SEMANTIC,K1_STRICT_ACCEPTED_EVENT_ROWS,venue_event_row,668,K0_RETRIEVED_CANDIDATE_EVENTS,1690,39.526627,,,
KALSHI_SEMANTIC,K2_WITHIN_VENUE_CANONICAL,venue_canonical_event,391,K1_STRICT_ACCEPTED_EVENT_ROWS,,,UNIT_CHANGE: accepted event rows collapse aliases/strikes into canonical events,,
KALSHI_HISTORY,KH0_CANONICAL_AUDITED,kalshi_canonical_event,391,,,,,,VENUE_HISTORY_AUDITED
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,101,KH0_CANONICAL_AUDITED,391,25.831202,,,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,132,KH0_CANONICAL_AUDITED,391,33.759591,Includes FULL_LADDER because it satisfies the CORE predicate,,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH3_DISTRIBUTIONAL_CORE,kalshi_canonical_event,85,KH0_CANONICAL_AUDITED,391,21.739130,Descriptive only; never increases independent N,,DESCRIPTIVE_ONLY
KALSHI_HISTORY,KH4_PARTIAL_OR_MISSING,kalshi_canonical_event,259,KH0_CANONICAL_AUDITED,391,66.240409,Complement of CORE predicate,,HISTORY_ATTRITION
KALSHI_HISTORY,KH4_NO_T10D,kalshi_canonical_event,188,KH4_PARTIAL_OR_MISSING,259,72.586873,Mutually exclusive history_class reason,,HISTORY_ATTRITION_REASON
KALSHI_HISTORY,KH4_NO_NEAR_T0,kalshi_canonical_event,66,KH4_PARTIAL_OR_MISSING,259,25.482625,Mutually exclusive history_class reason,,HISTORY_ATTRITION_REASON
KALSHI_HISTORY,KH4_PARTIAL,kalshi_canonical_event,2,KH4_PARTIAL_OR_MISSING,259,0.772201,Mutually exclusive history_class reason,,HISTORY_ATTRITION_REASON
KALSHI_HISTORY,KH4_NO_HISTORY,kalshi_canonical_event,3,KH4_PARTIAL_OR_MISSING,259,1.158301,Mutually exclusive history_class reason,,HISTORY_ATTRITION_REASON
FORECASTEX_CENSUS,FX0_ARCHIVE_DATES,archive_date,589,,,,Diagnostic only; not an event unit,,DIAGNOSTIC_ONLY
FORECASTEX_CENSUS,FX1_UNIQUE_CONTRACT_IDENTIFIERS,venue_contract_identifier,467868,,,,Diagnostic only; not an event unit,,DIAGNOSTIC_ONLY
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,481,,,,,,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM0_UNIQUE_GAMMA_EVENTS,venue_event_row,810515,,,,,,
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,1591,PM0_UNIQUE_GAMMA_EVENTS,,,UNIT_CHANGE: semantic acceptance plus same-occurrence alias collapse,,CENSUS_CAPACITY_NOT_BACKTESTABLE
CROSS_VENUE,XV0_VENUE_CANONICAL_SUM,venue_canonical_event,2463,,,,,,
CROSS_VENUE,XV1_EXACT_W4CE1_GROUPS,cross_venue_exact_group,2275,XV0_VENUE_CANONICAL_SUM,,,UNIT_CHANGE: exact cross-venue aliases collapse,,
CROSS_VENUE,XV2_PRETRUTH_LOWER_BOUND,cross_venue_exact_group_component,2130,,,,If every preregistered candidate edge is later same-event,LOWER_IF_ALL_CANDIDATE_EDGES_CONFIRM,
CROSS_VENUE,XV3_PRETRUTH_UPPER_BOUND,cross_venue_exact_group,2275,,,,,UPPER_IF_ALL_NONEXACT_CANDIDATES_DISTINCT,
OFFICIAL_TRUTH,OT0_PRETRUTH_EXACT_GROUPS,cross_venue_exact_group,2275,,,,,,
OFFICIAL_TRUTH,OT1_VERIFIED_OFFICIAL_GROUPS,official_event,344,OT0_PRETRUTH_EXACT_GROUPS,,,UNIT_CHANGE: authoritative identity mapping to W4OT1,,TRUTH_VERIFIED_UNIVERSE
OFFICIAL_TRUTH,OT2_UNRESOLVED_EXCLUDED,cross_venue_exact_group,1843,OT0_PRETRUTH_EXACT_GROUPS,2275,81.010989,Non-verified exact groups excluded from truth-verified N,,EXCLUDED
