series_ticker,series_title,category,frequency,raw_family_hits,boundary_family_hits,boundary_candidate
538APPROVE,President 538 approval rating this week,Politics,weekly,FDA_FINAL_PDUFA_DECISION,FDA_FINAL_PDUFA_DECISION,YES
538APPROVEMAX,Biden 538 highest approval rating,Politics,custom,FDA_FINAL_PDUFA_DECISION,FDA_FINAL_PDUFA_DECISION,YES
538APPROVEMIN,Biden 538 lowest approval rating,Politics,custom,FDA_FINAL_PDUFA_DECISION,FDA_FINAL_PDUFA_DECISION,YES
538APPROVEY,President 538 approval rating yearly,Politics,annual,FDA_FINAL_PDUFA_DECISION,FDA_FINAL_PDUFA_DECISION,YES
APPLEUS,Apple DOJ lawsuit,Companies,custom,CORPORATE_LITIGATION_BINARY,CORPORATE_LITIGATION_BINARY,YES
APRPOTUS,President RCP approval rating this week,Politics,weekly,FDA_FINAL_PDUFA_DECISION,FDA_FINAL_PDUFA_DECISION,YES
CHINAUSGDP,China overtakes US GDP,Economics,one_off,GDP_RELEASE,GDP_RELEASE,YES
CNGDP,China quarterly GDP change in 2021 Q2,Economics,one_off,GDP_RELEASE,GDP_RELEASE,YES
COVPILL,FDA approves COVID pill,Health,custom,FDA_FINAL_PDUFA_DECISION,FDA_FINAL_PDUFA_DECISION,YES
CPI,CPI,Economics,monthly,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
CPIAPPAREL,CPI on apparel,Economics,monthly,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
CPICORE,CPI core,Economics,monthly,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
CPIDELAY,CPI data released,Economics,custom,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
CPIFOOD,CPI on food,Economics,monthly,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
CPIGAS,CPI on gas,Economics,monthly,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
CPISHELTER,CPI on shelter,Economics,monthly,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
CPIUSEDCAR,CPI on used cars,Economics,monthly,CPI_INFLATION_RELEASE,CPI_INFLATION_RELEASE,YES
DOLLARFED,FOMC decision -> EUR/USD,Financials,custom,FOMC_DECISION,FOMC_DECISION,YES
FDACALIFF,Califf FDA head,Politics,one_off,FDA_FINAL_PDUFA_DECISION,FDA_FINAL_PDUFA_DECISION,YES
FEDHIKE,Next Fed rate hike,Economics,custom,FOMC_DECISION,FOMC_DECISION,YES
