exact_group_id,ticker,event_date,pit_timestamp,safe_cutoff_utc,pit_probability,m2_probability,market_id,event_key,token_id,source_file,join_key,signal_map_version
W4CE1-0423d33b07516c266416,AMAT,2026-05-14,2026-05-13T19:59:06Z,2026-05-13T20:00:00Z,0.944,0.944,2129328,AMAT|2026-05-14,65693161094637795380681585861398190150674616823140886995164839307012934781480,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-05aae3d60b6851b6c857,DG,2025-12-04,2025-12-03T20:59:07Z,2025-12-03T21:00:00Z,0.85,0.85,697463,DG|2025-12-04,105009326315619815513813732422062258084996706813123278513573709453843490102254,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-09220df71099e38b2395,DPZ,2026-04-27,2026-04-24T19:59:05Z,2026-04-24T20:00:00Z,0.555,0.555,2003520,DPZ|2026-04-27,8886619936563613781264177232329708446516670064635318714217969590627088431622,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-1571ed1b2f18ba114ca1,HOG,2025-11-04,2025-11-03T20:59:06Z,2025-11-03T21:00:00Z,0.225,0.225,637875,HOG|2025-11-04,65341527890420775891028549255760470469884849066336555887527899873951665892329,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-1b4d52f028b841036ecf,PEP,2025-10-09,2025-10-08T19:59:03Z,2025-10-08T20:00:00Z,0.9255,0.9255,613050,PEP|2025-10-09,90396429537936650711394962339316584913038333919022084933134129853130136079801,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-1c06dc8e3ba2da76d65a,NVTS,2026-05-05,2026-05-04T19:59:05Z,2026-05-04T20:00:00Z,0.925,0.925,2048140,NVTS|2026-05-05,60503242361596767918685923858574827311442581518819095138386206252228153051630,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-1c174584922809edcfcd,VIRT,2026-04-29,2026-04-28T19:59:04Z,2026-04-28T20:00:00Z,0.935,0.935,2003526,VIRT|2026-04-29,41964451992457518668397004917512018814122455543327712808395276226468675081178,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-1dd3a61fdd29294c58f4,AXP,2026-04-23,2026-04-22T19:59:04Z,2026-04-22T20:00:00Z,0.885,0.885,1937066,AXP|2026-04-23,31696350477853814213783090021395532660590009452067784693417106113888470237535,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-1e2b125f886434e92938,IOT,2026-06-04,2026-06-03T19:59:04Z,2026-06-03T20:00:00Z,0.935,0.935,2335543,IOT|2026-06-04,40696023607979774663516028679974997450836549937109705313813880105117469103330,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-23c9c1b526b4bab7898f,AMZN,2026-04-29,2026-04-28T19:59:04Z,2026-04-28T20:00:00Z,0.9355,0.9355,2044093,AMZN|2026-04-29,54338344555925965428218648464876157611160577999253552608862942394053899037262,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-23f0a2145bca1fb99a81,CB,2025-10-21,2025-10-20T19:59:04Z,2025-10-20T20:00:00Z,0.88,0.88,627454,CB|2025-10-21,15682006973809542047308703678356751542265344889895048219736652469284483901689,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-25e20fadbab9ec67182f,TGT,2025-11-19,2025-11-18T20:59:06Z,2025-11-18T21:00:00Z,0.505,0.505,675507,TGT|2025-11-19,91849722089391136982626580515817755208851433006744703278857559238554305092277,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-26635c5c900bcb335051,COUR,2025-10-23,2025-10-22T19:59:04Z,2025-10-22T20:00:00Z,0.635,0.635,637869,COUR|2025-10-23,36738440831482532074925499073092128287083095066843373365723561723832150028490,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-287d55b8dfdbd4eaca77,BA,2025-10-29,2025-10-28T19:59:06Z,2025-10-28T20:00:00Z,0.44,0.44,647505,BA|2025-10-29,47329751011335295935722288490545932928316899283050808979765379361585202416956,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-2bbf6b314c1dd0602d21,CRCL,2025-11-12,2025-11-11T20:59:05Z,2025-11-11T21:00:00Z,0.9,0.9,668460,CRCL|2025-11-12,109056363571687373983948033529752179637533606904237177041136311248344656089863,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-2ccfb70e66224b2b4c21,HAS,2025-10-23,2025-10-22T19:59:04Z,2025-10-22T20:00:00Z,0.81,0.81,637876,HAS|2025-10-23,91249845920824591788796775999720558231865769280516539995543002521665514030104,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-2d32613a8b9571c93f99,PAG,2026-02-11,2026-02-10T20:59:13Z,2026-02-10T21:00:00Z,0.62,0.62,1293041,PAG|2026-02-11,107155358555328888022639180107309398091613306146786457588378047581889130648735,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-3140ad301ea0cd416aeb,UNP,2026-01-27,2026-01-26T20:59:12Z,2026-01-26T21:00:00Z,0.515,0.515,1175892,UNP|2026-01-27,80456587554889378491338296494476310883065751876585591147341089339384108740721,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-367d2d5e629c91ca72c2,BOX,2026-03-03,2026-03-02T20:59:20Z,2026-03-02T21:00:00Z,0.695,0.695,1399742,BOX|2026-03-03,36259257426040797078457967821397259894611531051657935049973218740213413876039,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-38b471a8e55083fc4286,CSGP,2026-02-24,2026-02-23T20:59:15Z,2026-02-23T21:00:00Z,0.455,0.455,1362677,CSGP|2026-02-24,78383882992993112768510017243507853733722412500309308593818997604937402599981,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
