exact_group_id,ticker,event_date,safe_cutoff_utc,pit_probability,pit_timestamp_utc,signal_source,market_id,market_slug,yes_token_id,join_rule
W4CE1-0423d33b07516c266416,AMAT,2026-05-14,2026-05-13T20:00:00Z,0.944,,existing_signal_map_v2,2129328,,,
W4CE1-05aae3d60b6851b6c857,DG,2025-12-04,2025-12-03T21:00:00Z,0.85,,existing_signal_map_v2,697463,,,
W4CE1-09220df71099e38b2395,DPZ,2026-04-27,2026-04-24T20:00:00Z,0.555,,existing_signal_map_v2,2003520,,,
W4CE1-1571ed1b2f18ba114ca1,HOG,2025-11-04,2025-11-03T21:00:00Z,0.225,,existing_signal_map_v2,637875,,,
W4CE1-1b4d52f028b841036ecf,PEP,2025-10-09,2025-10-08T20:00:00Z,0.9255,,existing_signal_map_v2,613050,,,
W4CE1-1c06dc8e3ba2da76d65a,NVTS,2026-05-05,2026-05-04T20:00:00Z,0.925,,existing_signal_map_v2,2048140,,,
W4CE1-1c174584922809edcfcd,VIRT,2026-04-29,2026-04-28T20:00:00Z,0.935,,existing_signal_map_v2,2003526,,,
W4CE1-1dd3a61fdd29294c58f4,AXP,2026-04-23,2026-04-22T20:00:00Z,0.885,,existing_signal_map_v2,1937066,,,
W4CE1-1e2b125f886434e92938,IOT,2026-06-04,2026-06-03T20:00:00Z,0.935,,existing_signal_map_v2,2335543,,,
W4CE1-23c9c1b526b4bab7898f,AMZN,2026-04-29,2026-04-28T20:00:00Z,0.9355,,existing_signal_map_v2,2044093,,,
W4CE1-23f0a2145bca1fb99a81,CB,2025-10-21,2025-10-20T20:00:00Z,0.88,,existing_signal_map_v2,627454,,,
W4CE1-25e20fadbab9ec67182f,TGT,2025-11-19,2025-11-18T21:00:00Z,0.505,,existing_signal_map_v2,675507,,,
W4CE1-26635c5c900bcb335051,COUR,2025-10-23,2025-10-22T20:00:00Z,0.635,,existing_signal_map_v2,637869,,,
W4CE1-287d55b8dfdbd4eaca77,BA,2025-10-29,2025-10-28T20:00:00Z,0.44,,existing_signal_map_v2,647505,,,
W4CE1-2bbf6b314c1dd0602d21,CRCL,2025-11-12,2025-11-11T21:00:00Z,0.9,,existing_signal_map_v2,668460,,,
W4CE1-2ccfb70e66224b2b4c21,HAS,2025-10-23,2025-10-22T20:00:00Z,0.81,,existing_signal_map_v2,637876,,,
W4CE1-2d32613a8b9571c93f99,PAG,2026-02-11,2026-02-10T21:00:00Z,0.62,,existing_signal_map_v2,1293041,,,
W4CE1-3140ad301ea0cd416aeb,UNP,2026-01-27,2026-01-26T21:00:00Z,0.515,,existing_signal_map_v2,1175892,,,
W4CE1-367d2d5e629c91ca72c2,BOX,2026-03-03,2026-03-02T21:00:00Z,0.695,,existing_signal_map_v2,1399742,,,
W4CE1-38b471a8e55083fc4286,CSGP,2026-02-24,2026-02-23T21:00:00Z,0.455,,existing_signal_map_v2,1362677,,,
W4CE1-38ff84e092d46731d566,DBX,2025-11-06,2025-11-05T21:00:00Z,0.87,,existing_signal_map_v2,657080,,,
W4CE1-3dc31fc3fa40f1f5e19f,EXPE,2025-11-06,2025-11-05T21:00:00Z,0.87,,existing_signal_map_v2,657007,,,
W4CE1-3e876170d2756b1a8a1b,RKLB,2026-02-26,2026-02-25T21:00:00Z,0.615,,existing_signal_map_v2,1369645,,,
W4CE1-3f4cd08c855d33bd2129,CASY,2025-12-09,2025-12-08T21:00:00Z,0.92,,existing_signal_map_v2,701955,,,
W4CE1-3fce9ad6996d93d902ce,PAYX,2026-03-25,2026-03-24T20:00:00Z,0.86,,existing_signal_map_v2,1555635,,,
W4CE1-43fcba022ec2b5ffa65c,DOW,2025-10-23,2025-10-22T20:00:00Z,0.525,,existing_signal_map_v2,637870,,,
W4CE1-4545e626bc4662c14623,EL,2026-05-01,2026-04-30T20:00:00Z,0.81,,existing_signal_map_v2,2039914,,,
W4CE1-49a050c70c3076597af5,EBAY,2026-02-18,2026-02-17T21:00:00Z,0.895,,existing_signal_map_v2,1367585,,,
W4CE1-4bfe3323d5d49a764cae,ASO,2026-03-17,2026-03-16T20:00:00Z,0.626,,existing_signal_map_v2,1494785,,,
W4CE1-4c095fd5e6b7c4b60528,INTU,2026-05-20,2026-05-19T20:00:00Z,0.91,,existing_signal_map_v2,2186408,,,
W4CE1-4e878b3a74090f5775a1,UNFI,2025-12-02,2025-12-01T21:00:00Z,0.935,,existing_signal_map_v2,696263,,,
W4CE1-523fd1e625fb495cc483,CSCO,2026-02-11,2026-02-10T21:00:00Z,0.91,,existing_signal_map_v2,1287905,,,
W4CE1-533b1d0db75bc47a8f70,TFC,2026-01-21,2026-01-20T21:00:00Z,0.415,,existing_signal_map_v2,1125126,,,
W4CE1-53d9019df8985c78bae9,JBLU,2025-10-28,2025-10-27T20:00:00Z,0.805,,existing_signal_map_v2,643022,,,
W4CE1-5558ed2bc6448fcb67b5,DBX,2026-02-19,2026-02-18T21:00:00Z,0.92,,existing_signal_map_v2,1339807,,,
W4CE1-569332eabadd3d62a9b6,APLD,2025-10-09,2025-10-08T20:00:00Z,0.88,,existing_signal_map_v2,619984,,,
W4CE1-5782cf8354be2324c12e,JNJ,2026-07-15,2026-07-14T20:00:00Z,0.93,,existing_signal_map_v2,2775485,,,
W4CE1-5b863c57ecc2a5bbe5ed,VZ,2026-07-24,2026-07-23T20:00:00Z,0.91,,existing_signal_map_v2,2910387,,,
W4CE1-5bf85897a7b7e2624f99,CL,2025-10-31,2025-10-30T20:00:00Z,0.825,,existing_signal_map_v2,648376,,,
W4CE1-5bfc3795e4bc2434ab3f,BUD,2025-10-30,2025-10-29T20:00:00Z,0.805,,existing_signal_map_v2,647852,,,
W4CE1-60dc23a49bab8895b538,MAT,2025-10-21,2025-10-20T20:00:00Z,0.735,,existing_signal_map_v2,627652,,,
W4CE1-6959fad591f3404c7e1c,NWSA,2025-11-06,2025-11-05T21:00:00Z,0.465,,existing_signal_map_v2,657065,,,
W4CE1-69733408cef33cb75d58,WB,2026-03-18,2026-03-17T20:00:00Z,0.895,,existing_signal_map_v2,1486791,,,
W4CE1-6a745421b1cd0038d72f,BBWI,2025-11-20,2025-11-19T21:00:00Z,0.85,,existing_signal_map_v2,675540,,,
W4CE1-6b30375982534b148600,MTN,2026-06-08,2026-06-05T20:00:00Z,0.22,,existing_signal_map_v2,2387793,,,
W4CE1-6cafc9393595553b5f0c,WRBY,2026-02-26,2026-02-25T21:00:00Z,0.38,,existing_signal_map_v2,1369646,,,
W4CE1-718856c10a1fdc7b5d31,DAL,2026-04-08,2026-04-07T20:00:00Z,0.77,,existing_signal_map_v2,1735232,,,
W4CE1-73bc63932ac8ab7c1660,WRBY,2026-05-07,2026-05-06T20:00:00Z,0.28,,existing_signal_map_v2,2062068,,,
W4CE1-7d705411f26ffc4286d2,MTB,2026-07-15,2026-07-14T20:00:00Z,0.82,,existing_signal_map_v2,2775497,,,
W4CE1-7d7af0f1102b070898fc,DG,2025-12-04,2025-12-03T21:00:00Z,0.85,,existing_signal_map_v2,697463,,,
W4CE1-7df957190e5d7a6b4016,QCOM,2026-02-04,2026-02-03T21:00:00Z,0.88,,existing_signal_map_v2,1238099,,,
W4CE1-89eac00eb849189bff78,PANW,2026-06-02,2026-06-01T20:00:00Z,0.945,,existing_signal_map_v2,2312767,,,
W4CE1-8bce06dbd3275b9060dc,SBUX,2025-10-29,2025-10-28T20:00:00Z,0.325,,existing_signal_map_v2,643045,,,
W4CE1-8db5e4c61ba02c12b490,SG,2025-11-06,2025-11-05T21:00:00Z,0.36,,existing_signal_map_v2,658498,,,
W4CE1-8ff89e6c1a10f7e0e792,IBM,2026-01-28,2026-01-27T21:00:00Z,0.91,,existing_signal_map_v2,1244920,,,
W4CE1-919bc6c61318821db631,KO,2026-04-28,2026-04-27T20:00:00Z,0.915,,existing_signal_map_v2,1986797,,,
W4CE1-946ebb8eda7d594c4a7c,ANF,2026-03-04,2026-03-03T21:00:00Z,0.73,,existing_signal_map_v2,1403526,,,
W4CE1-99d8cecbb5fc335f485f,GRAB,2026-05-04,2026-05-01T20:00:00Z,0.575,,existing_signal_map_v2,2039915,,,
W4CE1-9aa654e3fa539efabe25,PYPL,2026-07-28,2026-07-27T20:00:00Z,0.84,,existing_signal_map_v2,2941073,,,
W4CE1-9ba015bc2ed242487a4b,MKC,2026-01-22,2026-01-21T21:00:00Z,0.84,,existing_signal_map_v2,1139951,,,
W4CE1-9c5072d458058a47c936,MBWM,2026-07-21,2026-07-20T20:00:00Z,0.88,,existing_signal_map_v2,2866596,,,
W4CE1-9db243816215fbc929ab,BAC,2026-07-14,2026-07-13T20:00:00Z,0.925,,existing_signal_map_v2,2745655,,,
W4CE1-9f3b722d9a78e0b5581c,USB,2026-04-16,2026-04-15T20:00:00Z,0.925,,existing_signal_map_v2,1891432,,,
W4CE1-a2b04e13edd6e4b07e0e,AMD,2025-11-04,2025-11-03T21:00:00Z,0.903,,existing_signal_map_v2,657445,,,
W4CE1-a437029b56f1e6b4f4cb,GAMB,2025-11-13,2025-11-12T21:00:00Z,0.89,,existing_signal_map_v2,668512,,,
W4CE1-a513a331b4e0fdafed16,GBCI,2025-10-16,2025-10-15T20:00:00Z,0.765,,existing_signal_map_v2,620069,,,
W4CE1-a54717cd7eecd3de12f7,FIG,2025-11-05,2025-11-04T21:00:00Z,0.825,,existing_signal_map_v2,656808,,,
W4CE1-a663084ba3c2d7ae6c14,GD,2026-04-29,2026-04-28T20:00:00Z,0.7255,,existing_signal_map_v2,1921506,,,
W4CE1-a868855c54f4a36b00b3,CASY,2026-03-09,2026-03-06T21:00:00Z,0.925,,existing_signal_map_v2,1421510,,,
W4CE1-a995c4aeab7d33b3a119,IVZ,2026-04-28,2026-04-27T20:00:00Z,0.785,,existing_signal_map_v2,1986795,,,
W4CE1-abd03406f55f8edb222a,DOCU,2026-06-04,2026-06-03T20:00:00Z,0.945,,existing_signal_map_v2,2335601,,,
W4CE1-abe921f69dde328a2e27,SHAK,2026-02-26,2026-02-25T21:00:00Z,0.62,,existing_signal_map_v2,1369670,,,
W4CE1-ac341ecdd61edb4a8746,MET,2025-11-05,2025-11-04T21:00:00Z,0.265,,existing_signal_map_v2,655443,,,
W4CE1-affab06d65d4268b873b,WMB,2026-05-04,2026-05-01T20:00:00Z,0.65,,existing_signal_map_v2,2039917,,,
W4CE1-b3ba757012e07b9fe635,COST,2026-03-05,2026-03-04T21:00:00Z,0.935,,existing_signal_map_v2,1403853,,,
W4CE1-b5fea07d038f485ea00e,RDDT,2026-02-05,2026-02-04T21:00:00Z,0.925,,existing_signal_map_v2,1268878,,,
W4CE1-bb45a088e2c567519576,CMG,2026-02-03,2026-02-02T21:00:00Z,0.565,,existing_signal_map_v2,1230454,,,
W4CE1-bd9651d477fb2fdd9eb6,CBRE,2026-04-23,2026-04-22T20:00:00Z,0.91,,existing_signal_map_v2,1937070,,,
W4CE1-be1b3b7d9760925b8866,TDOC,2025-10-29,2025-10-28T20:00:00Z,0.535,,existing_signal_map_v2,642124,,,
W4CE1-c209bcb0d22bea33416d,AXP,2025-10-17,2025-10-16T20:00:00Z,0.855,,existing_signal_map_v2,627451,,,
W4CE1-c30d31a9c5570f1111ff,HESM,2026-05-04,2026-05-01T20:00:00Z,0.875,,existing_signal_map_v2,2039918,,,
W4CE1-c3100a07316f47562634,EFX,2026-02-04,2026-02-03T21:00:00Z,0.85,,existing_signal_map_v2,1254013,,,
W4CE1-c33f49eb4b75be756741,EA,2026-05-05,2026-05-04T20:00:00Z,0.695,,existing_signal_map_v2,2048148,,,
W4CE1-c496bc89ab7c43f13cd3,POWL,2025-11-18,2025-11-17T21:00:00Z,0.905,,existing_signal_map_v2,675497,,,
W4CE1-c7c34818c20a18c013a8,DKNG,2026-05-07,2026-05-06T20:00:00Z,0.33,,existing_signal_map_v2,2062054,,,
W4CE1-c8a1f86876c2814a14b6,HOG,2026-02-10,2026-02-09T21:00:00Z,0.615,,existing_signal_map_v2,1238101,,,
